Smp Year,Well,Smp date,SMP,Name,DOB,Cyst,Sex,Age,Unit,Unit2,Unit Type,Site,Male S,Leader?,Overthrown?,OD_Values,Concentration,Calculation,Results,Plate,Series,V=WellOD-AvgN/AvgP-AvgN,ODV,S,AVG NOD,AVG POD
2014,G2,8/13/2014,31,Gashaw,1/27/2005,N,M,A,M1,M1,OMU,SK,L,C,N,0.188,10.485,10.5,negative,2,W,-0.068487871,-6.848787135,N,0.166,1.8345
2014,H4,8/13/2014,32,Muppet,2/24/2004,Y,F,A,M1,M1,OMU,SK,NA,NA,NA,3.461,420.493,420.5,POSITIVE,10,W,3.317738187,331.7738187,P,0.1035,2.603
2014,B5,8/13/2014,34,Gashaw,1/27/2005,N,M,A,M1,M1,OMU,SK,L,C,N,0.141,Range?,Range?,negative,10,W,-0.059825252,-5.982525221,N,0.14225,2.4285
2014,H2,8/13/2014,35,Dinky,4/1/2013,N,F,I,D,D,OMU,SK,NA,NA,NA,0.138,5.937,5.9,negative,2,W,0.022057148,2.205714753,N,0.08075,2.2945
2014,D5,8/14/2014,36,Diana,5/25/2007,N,F,A,D,D,OMU,SK,NA,NA,NA,0.104,Range?,Range?,negative,6,S,-0.016450098,-1.645009833,N,0.08075,2.034
2014,D5,8/14/2014,37,Vixen,12/1/2007,N,F,A,V,V,OMU,SK,NA,NA,NA,0.18,Range?,Range?,negative,10,W,0.049319678,4.931967759,N,0.08525,1.8765
2014,E5,8/14/2014,38,Amelia,2/8/2010,N,F,J,A,A,OMU,SK,NA,NA,NA,0.199,Range?,Range?,negative,10,W,-0.001825252,-0.182525221,N,0.14225,2.4285
2014,F5,8/14/2014,39,Autumn,9/11/2010,N,F,J,A,A,OMU,SK,NA,NA,NA,0.176,Range?,Range?,negative,10,W,0.026148089,2.614808917,N,0.08775,1.413
2014,F4,8/14/2014,40,Diego,3/11/2004,N,M,A,A,A,OMU,SK,L,C,Y,0.549,50.854,50.9,POSITIVE,10,S,0.428549902,42.85499017,P,0.08075,2.034
2014,G5,8/14/2014,41,Vladimir,6/11/2012,N,M,J,V,V,OMU,SK,NA,NA,NA,0.167,Range?,Range?,negative,10,W,0.017148089,1.714808917,N,0.08775,1.413
2014,H5,8/14/2014,42,Vodka,3/24/2003,N,M,A,T,T,OMU,SK,L,C,N,0.157,Range?,Range?,negative,10,W,0.041057148,4.105714753,N,0.08075,2.2945
2014,A5,8/14/2014,43,Thumper,8/5/2009,N,F,SA,T,T,OMU,SK,NA,NA,NA,0.134,Range?,Range?, ,12,S,0.029513699,2.951369863,N,0.0675,1.825
2014,A3,8/14/2014,44,Dixy,1/14/2009,N,F,J,D,D,OMU,SK,NA,NA,NA,0.257,14.612,14.6,negative,7,S,0.146618609,14.6618609,N,0.07025,1.7505
2014,C9,8/14/2014,46,Cristos,9/26/2013,N,M,I,C1,C1,OMU,SK,NA,NA,NA,0.114,Range?,Range?,negative,1,W,-0.029261813,-2.926181329,N,0.1035,2.603
2014,F3,8/14/2014,47,Imposter,2/1/2006,N,M,A,C3,C3,OMU,SK,L,C,N,0.101,Range?,Range?,negative,5,S,-0.048851911,-4.885191083,N,0.08775,1.413
2014,E3,8/16/2014,48,Talisman,11/1/2005,N,M,A,C1,C1,OMU,SK,L,C,N,0.188,10.476,10.5,negative,2,W,0.007369439,0.736943874,N,0.07625,0.7305
2014,B3,8/16/2014,49,Carmen,3/1/1997,N,F,A,C1,C1,OMU,SK,NA,NA,NA,0.186,Range?,Range?,negative,7,S,0.07660954,7.66095403,N,0.079,2.5995
2014,A8,8/16/2014,50,Walter,4/1/2003,N,M,A,C4,C4,OMU,SK,L,C,Y,2.008,134.004,134,POSITIVE,3,S,1.850489437,185.0489437,P,0.10075,1.775
2014,F3,8/16/2014,51,Caesar,1/29/2013,N,M,I,C3,C3,OMU,SK,NA,NA,NA,0.479,39.19,39.2,POSITIVE,9,S,0.368618609,36.8618609,P,0.07025,1.7505
2014,B9,8/16/2014,52,Capricorn,12/1/2005,N,F,A,C4,C4,OMU,SK,NA,NA,NA,0.183,5.457,5.5,negative,3,S,0.025489437,2.548943662,N,0.10075,1.775
2014,H4,8/16/2014,53,Muppet,2/24/2004,Y,F,A,M1,M1,OMU,SK,NA,NA,NA,2.89,351.556,351.6,POSITIVE,10,S,2.746738187,274.6738187,P,0.1035,2.603
2014,A5,8/16/2014,54,Neptune,3/28/2012,N,M,J,N,N,OMU,SK,NA,NA,NA,0.385,31.658,31.7,POSITIVE,2,W,0.184174748,18.41747478,N,0.14225,2.4285
2014,D11,8/16/2014,55,Noggin,6/1/2005,N,F,A,N,N,OMU,SK,NA,NA,NA,0.183,Range?,Range?,negative,7,S,0.039738187,3.973818671,N,0.1035,2.603
2014,B4,8/16/2014,56,Johnny Depp,1/22/2002,N,M,A,N,N,OMU,SK,L,C,N,0.167,8.524,8.5,negative,2,W,0.023738187,2.373818671,N,0.1035,2.603
2014,C4,8/16/2014,57,Moira,7/12/2007,N,F,A,M1,M1,OMU,SK,NA,NA,NA,0.174,9.226,9.2,negative,2,W,-0.026825252,-2.682525221,N,0.14225,2.4285
2014,D4,8/16/2014,58,Mistletoe,12/3/2012,N,F,I,M1,M1,OMU,SK,NA,NA,NA,0.194,11.096,11.1,negative,2,W,0.044148089,4.414808917,N,0.08775,1.413
2014,E4,8/16/2014,59,MaiTai,10/18/2010,N,F,J,M1,M1,OMU,SK,NA,NA,NA,0.185,10.192,10.2,negative,2,W,0.064549902,6.454990167,N,0.08075,2.034
2014,A3,8/17/2014,60,Mufassa,3/18/2014,N,M,I,M2,M2,OMU,SK,NA,NA,NA,0.144,Range?,Range?,negative,5,S,-0.013510563,-1.351056338,N,0.10075,1.775
2014,D5,8/17/2014,61,Mary,8/25/1997,Y,F,A,M2,M2,OMU,SK,NA,NA,NA,1.566,100.52,100.5,POSITIVE,5,S,1.45660954,145.660954,P,0.079,2.5995
2014,C5,8/17/2014,62,Sega,8/17/2004,N,M,A,M2,M2,OMU,SK,L,C,N,0.308,9.01,9,negative,12,S,0.197618609,19.7618609,N,0.07025,1.7505
2014,A5,8/17/2014,63,Mambo,10/5/2010,N,F,J,M2,M2,OMU,SK,NA,NA,NA,0.135,Range?,Range?,negative,5,S,0.021479199,2.147919877,N,0.075,1.947
2014,D5,8/17/2014,65,Nardos,9/1/1999,N,F,A,N,N,OMU,SK,NA,NA,NA,0.177,9.431,9.4,negative,2,W,0.061057148,6.105714753,N,0.08075,2.2945
2014,C5,8/17/2014,66,Yellowman,11/6/1998,Y,M,A,N,N,OMU,SK,F,O,Y,2.677,297.447,297.4,POSITIVE,10,S,2.546319678,254.6319678,P,0.08525,1.8765
2014,G4,8/17/2014,68,Baggins,9/9/2008,N,M,J,T,T,OMU,SK,NA,NA,NA,0.198,Range?,Range?,negative,5,S,0.054738187,5.473818671,N,0.1035,2.603
2014,F4,8/17/2014,69,Toronto,11/13/2009,N,M,J,T,T,OMU,SK,NA,NA,NA,0.261,Range?,Range?,negative,5,S,0.106868177,10.68681772,N,0.12275,3.9115
2014,B3,8/17/2014,64A,Violet,2/14/2005,N,F,A,V,V,OMU,SK,NA,NA,NA,0.922,52.493,52.5,POSITIVE,11,S,0.81260954,81.26095403,P,0.079,2.5995
2014,B5,8/18/2014,70,Chuxi,7/28/2006,N,F,A,C3,C3,OMU,SK,NA,NA,NA,0.215,Range?,Range?,negative,12,S,0.084319678,8.431967759,N,0.08525,1.8765
2014,E11,8/18/2014,71,Walter,4/1/2003,N,M,A,C4,C4,OMU,SK,L,C,Y,2.08,170.355,170.4,POSITIVE,7,S,1.925868177,192.5868177,P,0.12275,3.9115
2014,B6,8/18/2014,72,Dolly,9/3/2009,N,F,J,D,D,OMU,SK,NA,NA,NA,0.23,14.558,14.6,negative,2,W,0.103138722,10.3138722,N,0.093,2.7465
2014,C6,8/19/2014,73,Tickle,3/14/2011,N,F,J,T,T,OMU,SK,NA,NA,NA,0.166,8.469,8.5,negative,2,W,-0.090487871,-9.048787135,N,0.166,1.8345
2014,D6,8/19/2014,74,Vail,7/15/2013,N,M,I,V,V,OMU,SK,NA,NA,NA,0.227,14.276,14.3,negative,2,W,0.096319678,9.631967759,N,0.08525,1.8765
2014,D5,8/19/2014,75,Nymphadora,12/18/2006,N,F,A,N,N,OMU,SK,NA,NA,NA,0.12,Range?,Range?,negative,12,S,-0.034131823,-3.413182283,N,0.12275,3.9115
2014,F6,8/19/2014,76,Kondrashov,11/10/2012,N,F,I,K,K,OMU,SK,NA,NA,NA,0.186,10.277,10.3,negative,2,W,0.027166286,2.716628598,N,0.083,1.0945
2014,G6,8/19/2014,77,Nadia,9/1/2005,N,F,A,N,N,OMU,SK,NA,NA,NA,0.177,9.496,9.5,negative,2,W,0.033738187,3.373818671,N,0.1035,2.603
2014,E10,8/20/2014,78,Gypsy,7/18/2001,N,F,A,G,G,OMU,SK,NA,NA,NA,0.263,13.793,13.8,negative,11,W,0.113148089,11.31480892,N,0.08775,1.413
2014,E9,8/20/2014,79,Guppy,6/15/2014,N,F,I,G,G,OMU,SK,NA,NA,NA,0.166,Range?,Range?,negative,1,W,0.035319678,3.531967759,N,0.08525,1.8765
2014,H6,8/20/2014,80,Eric,1/15/2010,N,M,J,C4,C4,OMU,SK,NA,NA,NA,0.137,5.816,5.8,negative,2,W,-0.119487871,-11.94878714,N,0.166,1.8345
2014,B10,8/20/2014,81,Tess,4/18/2006,N,F,A,T,T,OMU,SK,NA,NA,NA,0.146,6.143,6.1,negative,11,W,-0.011510563,-1.151056338,N,0.10075,1.775
2014,D10,8/20/2014,82,Top,10/1/2003,N,F,A,T,T,OMU,SK,NA,NA,NA,0.145,6.068,6.1,negative,11,W,0.029057148,2.905714753,N,0.08075,2.2945
2014,F6,8/20/2014,83,Tater,5/15/2007,N,F,A,T,T,OMU,SK,NA,NA,NA,0.333,13.653,13.7,negative,5,S,0.132174748,13.21747478,N,0.14225,2.4285
2014,B9,8/20/2014,84,Boytije,11/24/2007,N,M,SA,G,G,OMU,SK,NA,NA,NA,0.102,2.384,2.4,negative,11,W,-0.002486301,-0.248630137,N,0.0675,1.825
2014,C7,8/20/2014,85,Cristos,9/26/2013,N,M,I,C1,C1,OMU,SK,NA,NA,NA,0.22,13.597,13.6,negative,2,W,0.076738187,7.673818671,N,0.1035,2.603
2014,D7,8/20/2014,86,Miagi,9/23/2010,N,M,J,M1,M1,OMU,SK,NA,NA,NA,0.165,8.305,8.3,negative,2,W,0.034319678,3.431967759,N,0.08525,1.8765
2014,C9,8/20/2014,87,Gaga,6/13/2013,N,F,I,G,G,OMU,SK,NA,NA,NA,0.109,3.098,3.1,negative,11,W,-0.021680322,-2.168032241,N,0.08525,1.8765
2014,E7,8/20/2014,88,Mimi,9/9/1998,N,F,A,M1,M1,OMU,SK,NA,NA,NA,0.15,6.989,7,negative,2,W,0.04060954,4.06095403,N,0.079,2.5995
2014,E6,8/21/2014,89,Midge,11/4/2002,N,F,A,M2,M2,OMU,SK,NA,NA,NA,0.297,8.509,8.5,negative,5,S,0.192513699,19.25136986,N,0.0675,1.825
2014,G7,8/21/2014,90,Talisman,11/1/2005,N,M,A,C1,C1,OMU,SK,L,C,N,0.207,12.345,12.3,negative,2,W,0.026369439,2.636943874,N,0.07625,0.7305
2014,C6,8/21/2014,91,Delia,2/16/2001,N,F,A,D,D,OMU,SK,NA,NA,NA,0.126,Range?,Range?,negative,1,W,0.010057148,1.005714753,N,0.08075,2.2945
2014,D6,8/21/2014,92,Madeline,10/1/2005,N,F,A,M2,M2,OMU,SK,NA,NA,NA,0.145,Range?,Range?,negative,5,S,-0.004851911,-0.485191083,N,0.08775,1.413
2014,E6,8/23/2014,93,Vye,2/1/1999,N,F,A,V,V,OMU,SK,NA,NA,NA,0.561,46.346,46.3,POSITIVE,7,S,0.411148089,41.11480892,P,0.08775,1.413
2014,F12,8/23/2014,94,Vienna,3/11/2007,N,F,A,V,V,OMU,SK,NA,NA,NA,0.126,Range?,Range?,negative,7,S,-0.070204508,-7.020450751,N,0.0735,0.599
2014,D9,8/24/2014,97,Dessie,1/27/2003,N,F,A,D,D,OMU,SK,NA,NA,NA,0.108,2.968,3,negative,11,W,-0.148487871,-14.84878714,N,0.166,1.8345
2014,E8,8/24/2014,98,Django,4/2/2003,N,M,A,O,O,OMU,SK,L,C,N,0.15,6.98,7,negative,2,W,-0.106487871,-10.64878714,N,0.166,1.8345
2014,B12,8/24/2014,99,Okidoki,UN,Y,F,A,O,O,OMU,SK,NA,NA,NA,1.189,73.811,73.8,POSITIVE,3,S,1.058319678,105.8319678,P,0.08525,1.8765
2014,E9,8/24/2014,100,Opal,9/1/2010,N,F,J,O,O,OMU,SK,NA,NA,NA,0.109,3.126,3.1,negative,11,W,-0.091825252,-9.182525221,N,0.14225,2.4285
2014,E5,8/24/2014,101,Vye,2/1/1999,N,F,A,V,V,OMU,SK,NA,NA,NA,0.376,34.424,34.4,POSITIVE,10,S,0.179795492,17.97954925,N,0.0735,0.599
2014,H7,8/24/2014,102,Madeline,10/1/2005,N,F,A,M2,M2,OMU,SK,NA,NA,NA,0.093,Range?,Range?,negative,4,S,-0.022942852,-2.294285247,N,0.08075,2.2945
2014,E5,8/24/2014,103,Mekele,1/25/2014,N,M,I,M2,M2,OMU,SK,NA,NA,NA,0.222,1.041,1,negative,12,S,0.067868177,6.786817717,N,0.12275,3.9115
2014,H9,8/24/2014,104,Mei,8/7/2012,N,F,J,M2,M2,OMU,SK,NA,NA,NA,0.099,2.158,2.2,negative,11,W,-0.050851911,-5.085191083,N,0.08775,1.413
2014,G8,8/24/2014,105,Gap,1/1/2002,N,M,A,O,O,OMU,SK,F,O,Y,0.182,9.89,9.9,negative,2,W,0.061549902,6.154990167,N,0.08075,2.034
2014,D6,8/24/2014,106,Flying Dutchman,12/13/2011,N,M,J,N,N,OMU,SK,NA,NA,NA,0.496,40.877,40.9,POSITIVE,7,S,0.375549902,37.55499017,P,0.08075,2.034
2014,H5,8/24/2014,107,Tecate,9/2/2007,N,M,SA,C1,C1,OMU,SK,NA,NA,NA,0.181,Range?,Range?,negative,5,S,0.076513699,7.651369863,N,0.0675,1.825
2014,B9,8/25/2014,109,Valerie,3/1/2001,N,F,A,V,V,OMU,SK,NA,NA,NA,0.162,8.113,8.1,negative,2,W,0.046057148,4.605714753,N,0.08075,2.2945
2014,C9,8/25/2014,110,Vishnu,12/25/2013,N,F,I,V,V,OMU,SK,NA,NA,NA,0.192,10.914,10.9,negative,2,W,-0.064487871,-6.448787135,N,0.166,1.8345
2014,F5,8/25/2014,111,Naughty,6/15/2008,N,F,A,N,N,OMU,SK,NA,NA,NA,0.273,6.459,6.5,negative,12,S,0.076795492,7.679549249,N,0.0735,0.599
2014,F5,8/25/2014,112,Devil,1/2/1999,N,M,A,D,D,OMU,SK,L,C,Y,0.801,50.447,50.4,POSITIVE,5,S,0.643489437,64.34894366,P,0.10075,1.775
2014,F9,8/25/2014,113,Horatio,6/30/2011,N,M,J,T,T,OMU,SK,NA,NA,NA,0.198,11.462,11.5,negative,2,W,-0.002825252,-0.282525221,N,0.14225,2.4285
2014,G9,8/27/2014,114,Todd,7/7/2014,N,M,I,T,T,OMU,SK,NA,NA,NA,0.155,7.427,7.4,negative,2,W,0.050513699,5.051369863,N,0.0675,1.825
2014,E5,8/28/2014,117,Zorro,3/31/2007,N,M,SA,AMG,AMG3,BA,SK,NA,NA,NA,0.455,37.01,37,POSITIVE,9,S,0.34560954,34.56095403,P,0.079,2.5995
2014,G5,8/28/2014,120,Jason Bourne,1/1/2008,N,M,SA,AMG3,AMG3,BA,SK,NA,NA,NA,0.217,Range?,Range?,negative,12,S,-0.056862437,-5.686243683,N,0.129,0.8905
2014,D3,8/28/2014,121,Sean,10/24/2007,N,M,SA,AMG3,AMG3,BA,SK,NA,NA,NA,0.222,10.894,10.9,negative,9,S,0.025795492,2.579549249,N,0.0735,0.599
2014,F7,8/28/2014,122,Qtip,1/1/2004,N,F,A,Q,Q,OMU,SK,NA,NA,NA,1.847,121.617,121.6,POSITIVE,5,S,1.742513699,174.2513699,P,0.0675,1.825
2014,H10,8/28/2014,123,Waggledance,9/29/2010,N,M,J,Q,Q,OMU,SK,NA,NA,NA,0.129,5.2,5.2,negative,2,W,0.024513699,2.451369863,N,0.0675,1.825
2014,A10,8/28/2014,115-116,Orpheus,UN,N,M,SA,O,O,OMU,SK,NA,NA,NA,0.1565,,,,2,W,0.046118609,4.611860897,N,0.07025,1.7505
2014,D3,8/29/2014,125,Omar,10/21/2010,N,M,J,M1,M1,OMU,SK,NA,NA,NA,0.4,31.949,31.9,POSITIVE,7,S,0.199174748,19.91747478,N,0.14225,2.4285
2014,A2,8/29/2014,126,Munchkin,2/1/2009,N,F,A,M1,M1,OMU,SK,NA,NA,NA,0.318,7.906,7.9,negative,3,W,0.174738187,17.47381867,N,0.1035,2.603
2014,G9,8/29/2014,127,Momo,12/10/2013,N,M,I,M1,M1,OMU,SK,NA,NA,NA,0.107,Range?,Range?,negative,1,W,-0.036261813,-3.626181329,N,0.1035,2.603
2014,B2,8/29/2014,128,Xavier,1/8/2009,N,M,SA,Z5,Z5,OMU,SK,NA,NA,NA,0.212,Range?,Range?,negative,3,W,0.015795492,1.579549249,N,0.0735,0.599
2014,D7,8/29/2014,129,Yoshi,3/9/2006,N,M,A,Z5,Z5,OMU,SK,F,O,Y,0.201,Range?,Range?,negative,5,S,0.090618609,9.061860897,N,0.07025,1.7505
2014,E2,8/29/2014,131,Sawyer,2/7/1999,N,M,A,Z3,Z3,OMU,SK,F,O,Y,0.284,Range?,Range?,negative,3,W,0.170479199,17.04791988,N,0.075,1.947
2014,E12,8/31/2014,132,Wakawaca,7/23/2005,N,M,A,Z3,Z3,OMU,SK,L,C,N,0.223,7.993,8,negative,7,S,0.068868177,6.886817717,N,0.12275,3.9115
2014,E3,8/31/2014,133,Meena,1/1/1998,N,F,A,M1,M1,OMU,SK,NA,NA,NA,0.711,40.974,41,POSITIVE,11,S,0.600618609,60.0618609,P,0.07025,1.7505
2014,A7,8/31/2014,134,Vienna,3/11/2007,N,F,A,V,V,OMU,SK,NA,NA,NA,0.122,Range?,Range?,negative,5,S,-0.036833714,-3.683371402,N,0.083,1.0945
2014,F6,9/1/2014,136,Buffy,9/3/2008,N,F,A,B,B,OMU,SK,NA,NA,NA,0.155,Range?,Range?,negative,1,W,-0.025630561,-2.563056126,N,0.07625,0.7305
2014,A3,9/1/2014,137,Gladys,6/1/1996,N,F,A,G,G,OMU,SK,NA,NA,NA,0.171,Range?,Range?,negative,3,W,0.066513699,6.651369863,N,0.0675,1.825
2014,A10,9/1/2014,138,Millie,12/10/2013,N,F,I,M1,M1,OMU,SK,NA,NA,NA,0.11,Range?,Range?,negative,1,W,-0.039851911,-3.985191083,N,0.08775,1.413
2014,B3,9/1/2014,139,Corona,9/1/1994,N,F,A,C5,C5,OMU,SK,NA,NA,NA,0.231,Range?,Range?,negative,3,W,0.104138722,10.4138722,N,0.093,2.7465
2014,B9,9/1/2014,142,Mickey,6/5/2012,N,F,J,M2,M2,OMU,SK,NA,NA,NA,1.036,82.284,82.3,POSITIVE,7,S,0.855369439,85.53694387,P,0.07625,0.7305
2014,C2,9/3/2014,143,Virga,11/8/2011,N,F,SA,V,V,OMU,SK,NA,NA,NA,0.118,Range?,Range?,negative,14,W,0.013513699,1.351369863,N,0.0675,1.825
2014,C6,9/3/2014,144,Vampire,12/1/2001,N,F,A,V,V,OMU,SK,NA,NA,NA,0.319,23.244,23.2,Borderline,7,S,0.203057148,20.30571475,N,0.08075,2.2945
2014,C11,9/3/2014,146,Vimto,1/17/2012,N,M,J,V,V,OMU,SK,NA,NA,NA,0.11,Range?,Range?,negative,7,S,-0.048833714,-4.883371402,N,0.083,1.0945
2014,B4,9/3/2014,148,Virga,11/8/2011,N,F,J,V,V,OMU,SK,NA,NA,NA,0.171,Range?,Range?,negative,3,W,-0.009630561,-0.963056126,N,0.07625,0.7305
2014,G8,9/3/2014,149,Toad,12/20/2011,N,M,J,V,V,OMU,SK,NA,NA,NA,0.214,Range?,Range?,negative,5,S,0.083319678,8.331967759,N,0.08525,1.8765
2014,F8,9/3/2014,150,Vladimir,6/11/2012,N,M,J,V,V,OMU,SK,NA,NA,NA,0.147,Range?,Range?,negative,5,S,0.036618609,3.661860897,N,0.07025,1.7505
2014,B10,9/3/2014,151,Vail,7/15/2013,N,M,I,V,V,OMU,SK,NA,NA,NA,0.097,Range?,Range?,negative,1,W,-0.060510563,-6.051056338,N,0.10075,1.775
2014,E4,9/3/2014,152,Gizmo,2/24/2012,N,M,J,V,V,OMU,SK,NA,NA,NA,0.23,Range?,Range?,negative,3,W,0.114057148,11.40571475,N,0.08075,2.2945
2014,F4,9/4/2014,153,Bunna,12/1/1998,N,F,A,B,B,OMU,SK,NA,NA,NA,0.227,Range?,Range?,negative,3,W,0.069489437,6.948943662,N,0.10075,1.775
2014,E8,9/4/2014,154,Bianca,8/16/2010,N,F,SA,B,B,OMU,SK,NA,NA,NA,0.086,Range?,Range?,negative,5,S,-0.057261813,-5.726181329,N,0.1035,2.603
2014,H4,9/4/2014,155,Zimbaba,UN,N,F,A,Z5,Z5,OMU,SK,NA,NA,NA,0.295,3.493,3.5,negative,3,W,0.140868177,14.08681772,N,0.12275,3.9115
2014,A5,9/4/2014,156,Bossy,9/25/2010,N,F,SA,B,B,OMU,SK,NA,NA,NA,0.173,Range?,Range?,negative,3,W,0.046138722,4.613872201,N,0.093,2.7465
2014,B5,9/4/2014,157,Brindle,12/1/2005,N,F,A,B,B,OMU,SK,NA,NA,NA,0.199,Range?,Range?,negative,3,W,0.08960954,8.96095403,N,0.079,2.5995
2014,E11,9/4/2014,160,Isaac,7/9/2010,N,M,J,C5,C5,OMU,SK,NA,NA,NA,0.124,Range?,Range?,negative,3,S,-0.033510563,-3.351056338,N,0.10075,1.775
2014,C8,9/4/2014,161,Cynthia,1/24/2010,N,F,J,C5,C5,OMU,SK,NA,NA,NA,0.185,Range?,Range?,negative,5,S,0.004369439,0.436943874,N,0.07625,0.7305
2014,G5,9/4/2014,162,Zebra,7/2/2007,N,F,A,Z3,Z3,OMU,SK,NA,NA,NA,0.263,Range?,Range?,negative,3,W,0.158513699,15.85136986,N,0.0675,1.825
2014,C10,9/4/2014,163,Copernicus,2/21/2014,N,M,I,C5,C5,OMU,SK,NA,NA,NA,0.212,2.567,2.6,negative,1,W,0.098479199,9.847919877,N,0.075,1.947
2014,H11,9/4/2014,164,Zirzir,11/16/2009,N,M,J,Z5,Z5,OMU,SK,NA,NA,NA,0.084,Range?,Range?,negative,7,S,-0.020486301,-2.048630137,N,0.0675,1.825
2014,B8,9/4/2014,165,Zara,11/1/2005,N,F,A,Z3,Z3,OMU,SK,NA,NA,NA,0.091,Range?,Range?,negative,5,S,-0.109825252,-10.98252522,N,0.14225,2.4285
