"ORDER","UNIT","NAME","ID","SEX","EVENT","DATE","STATUS","MOM","INF.NAME"
"3","A","Akira","AKI","M","Takeover",2015-03-18,"Natal","Ani",""
"5","A","Akira","AKI","M","END",2015-12-26,"","Ani",""
"1","A","Alcide","ALC","M","DOB",2010-02-08,"Natal","Apie",""
"2","A","Alcide","ALC","M","START",2010-02-08,"Natal","Apie",""
"4","A","Alcide","ALC","M","DOD",2010-09-21,"Natal","Apie",""
"5","A","Alcide","ALC","M","END",2010-09-21,"Natal","Apie",""
"3","A","Alcide","ALC","M","Mom died",2010-09-21,"","",""
"1","A","Alexandra","ALE","F","DOB",2004-05-30,"Natal","",""
"3","A","Alexandra","ALE","F","START",2009-03-21,"Natal","",""
"4","A","Alexandra","ALE","F","Takeover",2009-04-15,"Natal","",""
"5","A","Alexandra","ALE","F","Female maturation",2009-04-30,"C","",""
"6","A","Alexandra","ALE","F","Conception",2010-03-06,"P","","Abu"
"7","A","Alexandra","ALE","F","First Birth",2010-09-05,"L","","Abu"
"8","A","Alexandra","ALE","F","Wean (swell)",2013-02-08,"C","","Abu"
"9","A","Alexandra","ALE","F","Takeover",2013-03-01,"C","",""
"10","A","Alexandra","ALE","F","Conception",2013-03-30,"P","","Aristotle"
"11","A","Alexandra","ALE","F","Birth",2013-09-29,"L","","Aristotle"
"12","A","Alexandra","ALE","F","Takeover",2015-03-18,"L","","Aristotle"
"13","A","Alexandra","ALE","F","Wean (swell)",2015-04-20,"C","","Aristotle"
"14","A","Alexandra","ALE","F","END",2015-12-26,"","",""
"2","A","Alexandra","ALE","F","Independent",NA,"Natal","",""
"1","A","Alice","ALI","F","DOB",1982-08-20,"Natal","",""
"5","A","Alice","ALI","F","Birth",2005-12-01,"L","","Aren"
"N","A","Alice","ALI","F","Cyst",2006-01-01,"","",""
"6","A","Alice","ALI","F","START",2006-01-14,"L","","Aren"
"7","A","Alice","ALI","F","DOD",2006-08-14,"L","",""
"9","A","Alice","ALI","F","END",2006-08-14,"L","",""
"8","A","Alice","ALI","F","Inf Death",2006-08-14,"L","","Aren"
"3","A","Alice","ALI","F","Female maturation",NA,"C","",""
"4","A","Alice","ALI","F","First Birth",NA,"L","",""
"2","A","Alice","ALI","F","Independent",NA,"Natal","",""
"1","A","Amelia","AME","F","DOB",2010-02-08,"Natal","Aiwa",""
"2","A","Amelia","AME","F","Independent",2011-03-25,"Natal","Aiwa",""
"3","A","Amelia","AME","F","START",2012-01-04,"Natal","Aiwa",""
"4","A","Amelia","AME","F","Takeover",2013-03-01,"Natal","Aiwa",""
"5","A","Amelia","AME","F","Female maturation",2014-05-12,"C","Aiwa",""
"7","A","Amelia","AME","F","Conception",2015-03-18,"P","Aiwa",""
"6","A","Amelia","AME","F","Takeover",2015-03-18,"C","Aiwa",""
"8","A","Amelia","AME","F","First Birth",2015-11-11,"L","Aiwa","Achoo"
"9","A","Amelia","AME","F","END",2015-12-26,"","Aiwa","Achoo"
"1","A","Ani","ANI","F","DOB",2001-10-12,"Natal","",""
"3","A","Ani","ANI","F","START",2006-02-11,"Natal","",""
"4","A","Ani","ANI","F","Female maturation",2006-05-26,"C","",""
"5","A","Ani","ANI","F","Conception",2007-08-17,"P","","Ant"
"6","A","Ani","ANI","F","First Birth",2008-02-16,"L","","Ant"
"7","A","Ani","ANI","F","Wean (swell)",2009-04-14,"C","","Ant"
"8","A","Ani","ANI","F","Takeover",2009-04-15,"C","",""
"9","A","Ani","ANI","F","Conception",2010-03-12,"P","","Autumn"
"10","A","Ani","ANI","F","Birth",2010-09-11,"L","","Autumn"
"11","A","Ani","ANI","F","Wean (swell)",2011-06-27,"C","","Autumn"
"12","A","Ani","ANI","F","Conception",2011-06-28,"P","","Agamemmnon"
"13","A","Ani","ANI","F","Birth",2011-12-28,"L","","Agamemmnon"
"14","A","Ani","ANI","F","Takeover",2013-03-01,"C","","Agamemmnon"
"15","A","Ani","ANI","F","Wean (swell)",2013-03-09,"C","","Agamemmnon"
"16","A","Ani","ANI","F","Conception",2013-09-06,"P","","Akira"
"17","A","Ani","ANI","F","Birth",2014-03-08,"L","","Akira"
"18","A","Ani","ANI","F","Takeover",2015-03-18,"L","",""
"19","A","Ani","ANI","F","Wean (swell)",2015-03-18,"C","","Akira"
"20","A","Ani","ANI","F","END",2015-12-26,"","",""
"2","A","Ani","ANI","F","Independent",NA,"Natal","",""
"1","A","Ant","ANT","F","DOB",2008-12-16,"Natal","Ani",""
"2","A","Ant","ANT","F","Independent",2009-04-14,"Natal","Ani",""
"3","A","Ant","ANT","F","Takeover",2009-04-15,"","Ani",""
"4","A","Ant","ANT","F","START",2012-01-04,"","Ani",""
"5","A","Ant","ANT","F","Female maturation",2012-09-26,"C","Ani",""
"6","A","Ant","ANT","F","Takeover",2013-03-01,"C","Ani",""
"7","A","Ant","ANT","F","Conception",2013-05-04,"P","Ani","Apollo"
"8","A","Ant","ANT","F","First Birth",2013-11-03,"L","Ani","Apollo"
"9","A","Ant","ANT","F","Takeover",2015-03-18,"L","Ani","Apollo"
"10","A","Ant","ANT","F","Wean (swell)",2015-04-20,"C","Ani","Apollo"
"11","A","Ant","ANT","F","END",2015-12-26,"","Ani",""
"1","P","Anubis","ANU","M","DOB",2008-01-12,"Natal","Pia",""
"2","P","Anubis","ANU","M","START",2008-01-12,"Natal","Pia",""
"3","P","Anubis","ANU","M","END",NA,"","Pia",""
"1","A","Apie","API","F","DOB",2003-06-12,"Natal","Ani",""
"3","A","Apie","API","F","START",2007-04-12,"","Ani",""
"4","A","Apie","API","F","Female maturation",2009-03-07,"C","Ani",""
"5","A","Apie","API","F","Takeover",2009-04-15,"C","Ani",""
"6","A","Apie","API","F","Conception",2009-08-09,"P","Ani","Alcide"
"7","A","Apie","API","F","First Birth",2010-02-08,"L","Ani","Alcide"
"N","A","Apie","API","F","Cyst",2010-05-01,"","",""
"9","A","Apie","API","F","DOD",2010-09-21,"","Ani",""
"10","A","Apie","API","F","END",2010-09-21,"","Ani",""
"8","A","Apie","API","F","Inf Death",2010-09-21,"C","Ani","Alcide"
"2","A","Apie","API","F","Independent",NA,"Natal","Ani",""
"1","A","Apollo","APO","M","DOB",2013-11-03,"Natal","Ant",""
"2","A","Apollo","APO","M","START",2013-11-03,"Natal","Ant",""
"3","A","Apollo","APO","M","Takeover",2015-03-18,"Natal","Ant",""
"4","A","Apollo","APO","M","Independent",2015-04-20,"Natal","Ant",""
"5","A","Apollo","APO","M","END",2015-12-26,"","Ant",""
"2","A","Apple","APP","F","DOB",1988-01-29,"Natal","",""
"6","A","Apple","APP","F","START",2006-01-01,"","",""
"N","A","Apple","APP","F","Cyst",2006-01-01,"","",""
"1","A","Apple","APP","F","START",2006-01-14,"C","",""
"7","A","Apple","APP","F","Conception",2006-06-29,"P","","Seed"
"8","A","Apple","APP","F","Birth",2006-12-29,"L","","Seed"
"9","A","Apple","APP","F","DOD",2007-01-24,"","",""
"11","A","Apple","APP","F","END",2007-01-24,"","",""
"10","A","Apple","APP","F","Inf Death",2007-01-24,"C","","Seed"
"4","A","Apple","APP","F","Female maturation",NA,"C","",""
"5","A","Apple","APP","F","First Birth",NA,"L","",""
"3","A","Apple","APP","F","Independent",NA,"Natal","",""
"1","A","Aren","ARE","M","DOB",2005-12-01,"Natal","Alice",""
"2","A","Aren","ARE","M","START",2005-12-01,"Natal","Alice",""
"4","A","Aren","ARE","M","DOD",2006-08-14,"Natal","Alice",""
"5","A","Aren","ARE","M","END",2006-08-14,"Natal","Alice",""
"3","A","Aren","ARE","M","Mom died",2006-08-14,"","",""
"1","A","Aristotle","ARI","M","DOB",2013-09-29,"Natal","Alexandra",""
"2","A","Aristotle","ARI","M","START",2013-09-29,"Natal","Alexandra",""
"3","A","Aristotle","ARI","M","Takeover",2015-03-18,"Natal","Alexandra",""
"4","A","Aristotle","ARI","M","Independent",2015-04-20,"Natal","Alexandra",""
"5","A","Aristotle","ARI","M","END",2015-12-26,"","Alexandra",""
"1","A","Arlene","ARL","F","DOB",1984-03-18,"Natal","",""
"5","A","Arlene","ARL","F","START",2006-01-14,"C","",""
"6","A","Arlene","ARL","F","Conception",2006-04-16,"P","","Dexi"
"7","A","Arlene","ARL","F","Birth",2006-10-16,"L","","Dexi"
"9","A","Arlene","ARL","F","DOD",2008-03-12,"L","",""
"11","A","Arlene","ARL","F","END",2008-03-12,"L","",""
"10","A","Arlene","ARL","F","Inf Death",2008-03-12,"L","",""
"3","A","Arlene","ARL","F","Female maturation",NA,"Natal","",""
"4","A","Arlene","ARL","F","First Birth",NA,"Natal","",""
"2","A","Arlene","ARL","F","Independent",NA,"Natal","",""
"1","A","Autumn","AUT","F","DOB",2010-09-11,"Natal","Ani",""
"2","A","Autumn","AUT","F","Independent",2011-06-27,"Natal","Ani",""
"3","A","Autumn","AUT","F","START",2012-01-04,"","Ani",""
"4","A","Autumn","AUT","F","Takeover",2013-03-01,"","Ani",""
"5","A","Autumn","AUT","F","Takeover",2015-03-18,"","Ani",""
"6","A","Autumn","AUT","F","END",2015-12-26,"","Ani",""
"1","A","Avatar","AVA","F","DOB",2011-09-25,"Natal","Aiwa",""
"2","A","Avatar","AVA","F","START",2012-09-18,"","Aiwa",""
"3","A","Avatar","AVA","F","Takeover",2013-03-01,"","Aiwa",""
"4","A","Avatar","AVA","F","Independent",2013-03-09,"Natal","Aiwa",""
"5","A","Avatar","AVA","F","Takeover",2015-03-18,"","Aiwa",""
"6","A","Avatar","AVA","F","END",2015-12-26,"","Aiwa",""
"1","A","Avett","AVE","M","DOB",2014-02-17,"Natal","Aiwa",""
"2","A","Avett","AVE","M","START",2014-03-05,"Natal","Aiwa",""
"3","A","Avett","AVE","M","Takeover",2015-03-18,"Natal","Aiwa",""
"4","A","Avett","AVE","M","Independent",2015-04-20,"Natal","Aiwa",""
"5","A","Avett","AVE","M","DOD",2015-04-29,"Natal","Aiwa",""
"6","A","Avett","AVE","M","END",2015-04-29,"Natal","Aiwa",""
"1","unknown","Avon","AVO","M","DOB",2001-01-12,"","",""
"3","A","Avon","AVO","M","START",2009-04-15,"Leader","",""
"2","A","Avon","AVO","M","Takes over unit",2009-04-15,"Leader","",""
"5","AMG","Avon","AVO","M","Joins AMG",2013-03-01,"Bachelor","",""
"4","A","Avon","AVO","M","Overthrown",2013-03-01,"Former leader","",""
"6","AMG","Avon","AVO","M","END",2013-03-02,"Bachelor","",""
"1","B","Babe","BAB","F","DOB",2007-10-30,"Natal","",""
"2","B","Babe","BAB","F","Independent",2008-09-29,"Natal","",""
"3","B","Babe","BAB","F","Takeover",2009-07-24,"","",""
"4","B1","Babe","BAB","F","Fission",2009-11-01,"","",""
"5","B1","Babe","BAB","F","START",2011-12-30,"P","",""
"6","B1","Babe","BAB","F","Female maturation",2012-04-03,"C","",""
"7","B1","Babe","BAB","F","Takeover",2013-04-05,"C","",""
"8","B1","Babe","BAB","F","Emigration - Adult female",2013-09-16,"C","",""
"10","Q","Babe","BAB","F","Fusion",2013-09-16,"","",""
"9","Q","Babe","BAB","F","Immigration - Adult female",2013-09-16,"C","",""
"11","Q","Babe","BAB","F","DOD",2014-04-14,"","",""
"12","Q","Babe","BAB","F","END",2014-04-14,"","",""
"1","B1","Baffles","BAF","M","DOB",2012-10-26,"Natal","Beatrice",""
"2","B1","Baffles","BAF","M","START",2012-10-26,"Natal","Beatrice",""
"3","B1","Baffles","BAF","M","Independent",2013-08-21,"Natal","Beatrice",""
"4","B1","Baffles","BAF","M","DOD",2013-12-20,"Natal","Beatrice",""
"5","B1","Baffles","BAF","M","END",2013-12-20,"Natal","Beatrice",""
"1","T","Baggins","BAG","M","DOB",2008-09-09,"Natal","Tea",""
"2","T","Baggins","BAG","M","START",2008-09-09,"","Tea",""
"3","T","Baggins","BAG","M","Independent",2010-02-13,"Natal","Tea",""
"4","T","Baggins","BAG","M","Subadult 2",2014-06-01,"","",""
"5","T","Baggins","BAG","M","END",2015-12-26,"","Tea",""
"1","B1","Bajaj","BAJ","F","DOB",2014-09-14,"Natal","Buna",""
"2","B1","Bajaj","BAJ","F","START",2014-09-14,"Natal","Buna",""
"3","B1","Bajaj","BAJ","F","END",2015-12-26,"","Buna",""
"1","B1","Balthazar","BAL","M","DOB",2012-02-16,"Natal","Birtha",""
"2","B1","Balthazar","BAL","M","START",2012-02-16,"","Birtha",""
"3","B1","Balthazar","BAL","M","Takeover",2013-04-05,"Natal","Birtha",""
"4","B1","Balthazar","BAL","M","Independent",2013-04-24,"Natal","Birtha",""
"5","B1","Balthazar","BAL","M","Mom died",2013-06-06,"Natal","Birtha",""
"6","B1","Balthazar","BAL","M","DOD",2014-04-30,"Natal","Birtha",""
"7","B1","Balthazar","BAL","M","END",2014-04-30,"Natal","Birtha",""
"1","B","Barbara","BAR","F","DOB",1998-12-01,"Natal","",""
"5","B","Barbara","BAR","F","Birth",2004-12-15,"L","","Beverly"
"6","B","Barbara","BAR","F","START",2006-02-01,"L","","Beverly"
"7","B","Barbara","BAR","F","Takeover",2006-04-17,"L","","Beverly"
"8","B","Barbara","BAR","F","Wean (swell)",2006-04-18,"C","","Beverly"
"9","B","Barbara","BAR","F","Conception",2007-04-30,"P","","Babe"
"10","B","Barbara","BAR","F","Birth",2007-10-30,"L","","Babe"
"11","B","Barbara","BAR","F","Wean (swell)",2008-09-29,"C","","Babe"
"12","B","Barbara","BAR","F","Takeover",2009-07-24,"C","",""
"13","B","Barbara","BAR","F","Conception",2009-10-11,"P","","Biera"
"14","B1","Barbara","BAR","F","Fission",2009-11-01,"P","","Biera"
"15","B1","Barbara","BAR","F","Birth",2010-04-12,"L","","Biera"
"16","B1","Barbara","BAR","F","Wean (swell)",2011-03-05,"C","","Biera"
"17","B1","Barbara","BAR","F","Conception",2011-03-06,"P","","Berbere"
"18","B1","Barbara","BAR","F","Birth",2011-09-05,"L","","Berbere"
"19","B1","Barbara","BAR","F","Takeover",2013-04-05,"L","","Berbere"
"20","B1","Barbara","BAR","F","Wean (swell)",2013-05-20,"C","","Berbere"
"21","B1","Barbara","BAR","F","Conception",2013-11-30,"P","","Burpee"
"22","B1","Barbara","BAR","F","Birth",2014-06-01,"L","","Burpee"
"23","B1","Barbara","BAR","F","Inf Death",2015-04-29,"C","","Burpee"
"24","B1","Barbara","BAR","F","END",2015-12-26,"","",""
"3","B","Barbara","BAR","F","Female maturation",NA,"C","",""
"4","B","Barbara","BAR","F","First Birth",NA,"L","",""
"2","B","Barbara","BAR","F","Independent",NA,"Natal","",""
"1","B1","Basil","BAS","F","DOB",2014-05-25,"Natal","Brindle",""
"2","B1","Basil","BAS","F","START",2014-07-01,"","Brindle",""
"3","B1","Basil","BAS","F","END",2015-12-26,"","Brindle",""
"1","B","Beatrice","BEA","F","DOB",1998-09-09,"Natal","Bryonny",""
"4","B","Beatrice","BEA","F","First Birth",2004-12-15,"L","Bryonny","Bitsy"
"6","B","Beatrice","BEA","F","Takeover",2006-04-17,"L","Bryonny","Bitsy"
"7","B","Beatrice","BEA","F","START",2006-05-17,"C","Bryonny",""
"8","B","Beatrice","BEA","F","Conception",2006-12-26,"P","Bryonny","Buffy"
"9","B","Beatrice","BEA","F","Birth",2007-06-27,"L","Bryonny","Buffy"
"10","B","Beatrice","BEA","F","Wean (swell)",2008-05-17,"C","Bryonny","Buffy"
"11","B","Beatrice","BEA","F","Takeover",2009-07-24,"C","Bryonny",""
"12","B1","Beatrice","BEA","F","Fission",2009-11-01,"C","Bryonny",""
"13","B1","Beatrice","BEA","F","Conception",2010-01-14,"P","Bryonny","Byork"
"14","B1","Beatrice","BEA","F","Birth",2010-07-16,"L","Bryonny","Byork"
"15","B1","Beatrice","BEA","F","Wean (swell)",2012-02-21,"C","Bryonny","Byork"
"16","B1","Beatrice","BEA","F","Conception",2012-04-29,"P","Bryonny","Baffles"
"17","B1","Beatrice","BEA","F","Birth",2012-10-26,"L","Bryonny","Baffles"
"N","B","Beatrice","BEA","F","Cyst",2013-02-01,"","",""
"18","B1","Beatrice","BEA","F","Takeover",2013-04-05,"L","Bryonny","Baffles"
"19","B1","Beatrice","BEA","F","Wean (swell)",2013-08-21,"C","Bryonny","Baffles"
"20","B1","Beatrice","BEA","F","Mom died",2013-12-20,"","Bryonny",""
"21","B1","Beatrice","BEA","F","DOD",2014-12-04,"P?","Bryonny",""
"22","B1","Beatrice","BEA","F","END",2014-12-04,"P?","Bryonny",""
"3","B","Beatrice","BEA","F","Female maturation",NA,"C","Bryonny",""
"2","B","Beatrice","BEA","F","Independent",NA,"Natal","Bryonny",""
"5","B","Beatrice","BEA","F","Wean (swell)",NA,"C","Bryonny","Bitsy"
"1","B","Becky","BEC","F","DOB",2008-12-31,"Natal","Birtha",""
"2","B","Becky","BEC","F","START",2008-12-31,"","Birtha",""
"3","B1","Becky","BEC","F","DOD",2009-01-15,"","Birtha",""
"4","B1","Becky","BEC","F","END",2009-01-15,"","Birtha",""
"1","B","Bee","BEE","F","DOB",2002-11-11,"Natal","unknown",""
"3","B","Bee","BEE","F","Takeover",2006-04-17,"","unknown",""
"4","B","Bee","BEE","F","Female maturation",2008-04-12,"C","unknown",""
"5","B","Bee","BEE","F","START",2008-04-12,"C","unknown",""
"6","B","Bee","BEE","F","Conception",2008-08-17,"P","unknown","Blarney"
"7","B","Bee","BEE","F","First Birth",2009-02-16,"L","unknown","Blarney"
"8","B","Bee","BEE","F","Takeover",2009-07-24,"L","unknown","Blarney"
"9","B","Bee","BEE","F","Wean (swell)",2009-09-18,"C","unknown","Blarney"
"10","B1","Bee","BEE","F","Fission",2009-11-01,"C","unknown",""
"11","B1","Bee","BEE","F","Conception",2010-03-30,"P","unknown","Waggle-dance"
"12","B1","Bee","BEE","F","Birth",2010-09-29,"L","unknown","Waggle-dance"
"13","B1","Bee","BEE","F","Wean (swell)",2012-06-28,"C","unknown","Waggle-dance"
"14","B1","Bee","BEE","F","Takeover",2013-04-05,"C","unknown",""
"15","B1","Bee","BEE","F","Emigration - Adult female",2013-09-16,"C","unknown",""
"17","Q","Bee","BEE","F","Fusion",2013-09-16,"","",""
"16","Q","Bee","BEE","F","Immigration - Adult female",2013-09-16,"C","unknown",""
"18","Q","Bee","BEE","F","Conception",2013-11-14,"P","unknown","Qwoffi"
"19","Q","Bee","BEE","F","Birth",2014-05-15,"L","unknown","Qwoffi"
"20","Q","Bee","BEE","F","END",2015-12-26,"","",""
"2","B","Bee","BEE","F","Independent",NA,"Natal","unknown",""
"1","B1","Beka","BEK","M","DOB",2013-12-21,"Natal","Bimbi",""
"2","B1","Beka","BEK","M","START",2014-01-22,"Natal","Bimbi",""
"3","B1","Beka","BEK","M","END",2015-12-26,"","Bimbi",""
"1","B","Bella","BEL","F","DOB",2008-08-14,"Natal","Bombolino",""
"2","B","Bella","BEL","F","Independent",2009-07-10,"Natal","Bombolino",""
"3","B","Bella","BEL","F","Takeover",2009-07-24,"","Bombolino",""
"4","B2","Bella","BEL","F","Fission",2009-11-01,"","Bombolino",""
"5","B2","Bella","BEL","F","END",2011-06-17,"","Bombolino",""
"6","B","Bella","BEL","F","START",NA,"","Bombolino",""
"1","unknown","Benzine","BEN","M","DOB",1997-07-24,"","",""
"2","C","Benzine","BEN","M","START",2008-01-29,"Follower","",""
"3","C","Benzine","BEN","M","Fission",2008-04-19,"Follower","",""
"4","C1","Benzine","BEN","M","Fission",2008-05-27,"Follower","",""
"5","AMG","Benzine","BEN","M","Joins AMG",2008-08-11,"Bachelor","",""
"8","K","Benzine","BEN","M","DIS",2009-05-30,"Follower","",""
"7","K","Benzine","BEN","M","END",2009-05-30,"Follower","",""
"1","B1","Berbere","BER","F","DOB",2011-09-05,"Natal","Barbara",""
"2","B1","Berbere","BER","F","START",2012-09-20,"","Barbara",""
"3","B1","Berbere","BER","F","Takeover",2013-04-05,"","Barbara",""
"4","B1","Berbere","BER","F","Independent",2013-05-20,"Natal","Barbara",""
"5","B1","Berbere","BER","F","DOD",2013-10-29,"","Barbara",""
"6","B1","Berbere","BER","F","END",2013-10-29,"","Barbara",""
"1","B","Betty","BET","F","DOB",1988-08-22,"Natal","",""
"5","B","Betty","BET","F","Birth",2002-09-04,"L","","Bombolino"
"6","B","Betty","BET","F","Birth",2004-12-15,"L","","Crocker"
"7","B","Betty","BET","F","START",2006-02-01,"L","","Crocker"
"8","B","Betty","BET","F","Takeover",2006-04-17,"L","","Crocker"
"9","B","Betty","BET","F","Wean (swell)",2006-05-12,"C","","Crocker"
"10","B","Betty","BET","F","Conception",2006-05-13,"P","","Cisco"
"11","B","Betty","BET","F","Birth",2006-11-12,"L","","Cisco"
"12","B","Betty","BET","F","Wean (swell)",2008-04-12,"C","","Cisco"
"13","B","Betty","BET","F","Conception",2008-05-14,"P","","Beyonce"
"14","B","Betty","BET","F","Birth",2008-11-13,"L","","Beyonce"
"15","B","Betty","BET","F","Takeover",2009-07-24,"L","","Beyonce"
"16","B","Betty","BET","F","Wean (swell)",2009-07-26,"C","","Beyonce"
"17","B2","Betty","BET","F","Fission",2009-11-01,"C","",""
"18","B2","Betty","BET","F","DOD",2010-08-17,"","",""
"19","B2","Betty","BET","F","END",2010-08-17,"","",""
"3","B","Betty","BET","F","Female maturation",NA,"C","",""
"4","B","Betty","BET","F","First Birth",NA,"L","",""
"2","B","Betty","BET","F","Independent",NA,"Natal","",""
"1","B","Beverly","BEV","F","DOB",2004-12-15,"Natal","Barbara",""
"2","B","Beverly","BEV","F","Independent",2006-04-18,"Natal","Barbara",""
"3","B1","Beverly","BEV","F","Fission",2009-11-01,"","Barbara",""
"4","B1","Beverly","BEV","F","Female maturation",2010-04-15,"C","Barbara",""
"5","B1","Beverly","BEV","F","START",2010-04-15,"C","Barbara",""
"6","B1","Beverly","BEV","F","Conception",2011-07-29,"P","Barbara","Borneo"
"7","B1","Beverly","BEV","F","First Birth",2012-01-27,"L","Barbara","Borneo"
"8","B1","Beverly","BEV","F","Takeover",2013-04-05,"L","Barbara",""
"9","B1","Beverly","BEV","F","Wean (swell)",2013-06-05,"C","Barbara","Borneo"
"10","B1","Beverly","BEV","F","Conception",2014-04-05,"P","Barbara","Boulder"
"11","B1","Beverly","BEV","F","Birth",2014-10-02,"L","Barbara","Boulder"
"12","B1","Beverly","BEV","F","END",2015-12-26,"","Barbara",""
"1","B","Beyonce","BEY","F","DOB",2008-11-13,"Natal","Betty",""
"2","B","Beyonce","BEY","F","START",2008-11-13,"","Betty",""
"3","B","Beyonce","BEY","F","Independent",2009-07-26,"Natal","Betty",""
"4","B2","Beyonce","BEY","F","Fission",2009-11-01,"","Betty",""
"5","B2","Beyonce","BEY","F","Mom died",2010-08-17,"","",""
"6","B2","Beyonce","BEY","F","DOD",NA,"","Betty",""
"7","B2","Beyonce","BEY","F","END",NA,"","Betty",""
"1","B1","Bianca","BIA","F","DOB",2010-08-16,"Natal","Buna",""
"2","B1","Bianca","BIA","F","START",2012-01-02,"Natal","Buna",""
"3","B1","Bianca","BIA","F","Takeover",2013-04-05,"Natal","Buna",""
"5","B1","Bianca","BIA","F","Female maturation",2014-08-21,"Natal","Buna",""
"6","B1","Bianca","BIA","F","END",2015-12-26,"","Buna",""
"4","B1","Bianca","BIA","F","Independent",NA,"Natal","Buna",""
"1","N","Bicha","BIC","M","DOB",2006-10-01,"Natal","Nancy",""
"2","N","Bicha","BIC","M","START",2006-10-01,"Natal","Nancy",""
"3","N","Bicha","BIC","M","Mom died",2007-08-19,"","",""
"4","N","Bicha","BIC","M","END",NA,"","Nancy",""
"1","B1","Biera","BIE","F","DOB",2010-04-12,"Natal","Barbara",""
"2","B1","Biera","BIE","F","Independent",2011-03-05,"Natal","Barbara",""
"3","B1","Biera","BIE","F","START",2011-12-30,"Natal","Barbara",""
"4","B1","Biera","BIE","F","Takeover",2013-04-05,"Natal","Barbara",""
"5","B1","Biera","BIE","F","Female maturation",2015-01-03,"C","Barbara",""
"6","B1","Biera","BIE","F","END",2015-12-26,"","Barbara",""
