"name","sex","start","cyst","dod","stop","mom","dis","drop"
"Zaybar","F",18.179215149441,NA,19.6768195300023,19.6768195300023,"",0,0
"Zebra","F",4.52851927903263,NA,NA,8.48471366643851,"Zoo",0,0
"Zee","F",4,NA,NA,11.5292037417294,"",0,0
"Zelda","F",11.2415012548483,11.2113848961898,12.9911019849418,12.9911019849418,"",0,0
"Zen","M",4,NA,NA,6.72153775952544,"Zion",0,0
"Zerbert","F",4,NA,NA,5.19381702030573,"Zamboni",0,0
"Zetena","M",7.88512434405658,NA,NA,13.7496007300935,"",1,0
"Zeus","M",7.88512434405658,15.4715947980835,NA,17.7057951174994,"",0,0
"Zilch","M",4,NA,NA,4.92003194159252,"Zamboni",0,0
"Zimbaba","F",18.8446269678303,NA,27.1375770020534,27.1375770020534,"",0,0
"Zion","F",10.2750399269906,NA,NA,18.9815195071869,"",0,0
"Zipadee","F",4.42972849646361,11.0691307323751,11.2772073921971,11.3838694957791,"Zion",0,0
"Zirzir","M",4,NA,NA,6.10814510609172,"Zee",0,0
"Zoe","F",4,NA,NA,6.23146246862879,"Zoo",0,0
"Zoo","F",6.04506046087155,NA,NA,14.7515400410678,"Zimbaba",0,0
"Zorro","M",4,NA,NA,8.7393337896418,"Zaybar",0,0
"Zoudu","M",4,NA,NA,6.2232489162674,"Zion",0,0
