ORDER,UNIT,NAME,ID,SEX,EVENT,DATE,STATUS,MOM,INF.NAME
14,A,Ani,ANI,F,Takeover,3/1/13,C,,Agamemmnon
15,A,Ani,ANI,F,Wean (swell),3/9/13,C,,Agamemmnon
16,A,Ani,ANI,F,Conception,9/6/13,P,,Akira
17,A,Ani,ANI,F,Birth,3/8/14,L,,Akira
18,A,Ani,ANI,F,Takeover,3/18/15,L,,
19,A,Ani,ANI,F,Wean (swell),3/18/15,C,,Akira
20,A,Ani,ANI,F,END,12/26/15,,,
2,A,Ani,ANI,F,Independent,NA,Natal,,
1,A,Ant,ANT,F,DOB,12/16/08,Natal,Ani,
2,A,Ant,ANT,F,Independent,4/14/09,Natal,Ani,
3,A,Ant,ANT,F,Takeover,4/15/09,,Ani,
4,A,Ant,ANT,F,START,12/16/08,,Ani,
5,A,Ant,ANT,F,Female maturation,9/26/12,C,Ani,
6,A,Ant,ANT,F,Takeover,3/1/13,C,Ani,
7,A,Ant,ANT,F,Conception,5/4/13,P,Ani,Apollo
8,A,Ant,ANT,F,First Birth,11/3/13,L,Ani,Apollo
9,A,Ant,ANT,F,Takeover,3/18/15,L,Ani,Apollo
10,A,Ant,ANT,F,Wean (swell),4/20/15,C,Ani,Apollo
11,A,Ant,ANT,F,END,12/26/15,,Ani,
1,P,Anubis,ANU,M,DOB,1/12/08,Natal,Pia,
2,P,Anubis,ANU,M,START,1/12/08,Natal,Pia,
3,P,Anubis,ANU,M,END,NA,,Pia,
1,A,Apie,API,F,DOB,6/12/03,Natal,Ani,
3,A,Apie,API,F,START,4/12/07,,Ani,
4,A,Apie,API,F,Female maturation,3/7/09,C,Ani,
5,A,Apie,API,F,Takeover,4/15/09,C,Ani,
6,A,Apie,API,F,Conception,8/9/09,P,Ani,Alcide
7,A,Apie,API,F,First Birth,2/8/10,L,Ani,Alcide
N,A,Apie,API,F,Cyst,5/1/10,,,
9,A,Apie,API,F,DOD,9/21/10,,Ani,
10,A,Apie,API,F,END,9/21/10,,Ani,
8,A,Apie,API,F,Inf Death,9/21/10,C,Ani,Alcide
2,A,Apie,API,F,Independent,NA,Natal,Ani,
1,A,Apollo,APO,M,DOB,11/3/13,Natal,Ant,
2,A,Apollo,APO,M,START,11/3/13,Natal,Ant,
3,A,Apollo,APO,M,Takeover,3/18/15,Natal,Ant,
4,A,Apollo,APO,M,Independent,4/20/15,Natal,Ant,
5,A,Apollo,APO,M,END,12/26/15,,Ant,
2,A,Apple,APP,F,DOB,1/29/88,Natal,,
N,A,Apple,APP,F,Cyst,1/14/06,,,
1,A,Apple,APP,F,START,1/14/06,C,,
7,A,Apple,APP,F,Conception,6/29/06,P,,Seed
8,A,Apple,APP,F,Birth,12/29/06,L,,Seed
9,A,Apple,APP,F,DOD,1/24/07,,,
11,A,Apple,APP,F,END,1/24/07,,,
10,A,Apple,APP,F,Inf Death,1/24/07,C,,Seed
4,A,Apple,APP,F,Female maturation,NA,C,,
5,A,Apple,APP,F,First Birth,NA,L,,
3,A,Apple,APP,F,Independent,NA,Natal,,
1,A,Aren,ARE,M,DOB,12/1/05,Natal,Alice,
2,A,Aren,ARE,M,START,12/1/05,Natal,Alice,
4,A,Aren,ARE,M,DOD,8/14/06,Natal,Alice,
5,A,Aren,ARE,M,END,8/14/06,Natal,Alice,
3,A,Aren,ARE,M,Mom died,8/14/06,,,
1,A,Aristotle,ARI,M,DOB,9/29/13,Natal,Alexandra,
2,A,Aristotle,ARI,M,START,9/29/13,Natal,Alexandra,
3,A,Aristotle,ARI,M,Takeover,3/18/15,Natal,Alexandra,
4,A,Aristotle,ARI,M,Independent,4/20/15,Natal,Alexandra,
5,A,Aristotle,ARI,M,END,12/26/15,,Alexandra,
1,A,Arlene,ARL,F,DOB,3/18/84,Natal,,
5,A,Arlene,ARL,F,START,1/14/06,C,,
6,A,Arlene,ARL,F,Conception,4/16/06,P,,Dexi
7,A,Arlene,ARL,F,Birth,10/16/06,L,,Dexi
9,A,Arlene,ARL,F,DOD,3/12/08,L,,
11,A,Arlene,ARL,F,END,3/12/08,L,,
10,A,Arlene,ARL,F,Inf Death,3/12/08,L,,
3,A,Arlene,ARL,F,Female maturation,NA,Natal,,
4,A,Arlene,ARL,F,First Birth,NA,Natal,,
2,A,Arlene,ARL,F,Independent,NA,Natal,,
1,A,Autumn,AUT,F,DOB,9/11/10,Natal,Ani,
2,A,Autumn,AUT,F,Independent,6/27/11,Natal,Ani,
3,A,Autumn,AUT,F,START,9/11/10,,Ani,
4,A,Autumn,AUT,F,Takeover,3/1/13,,Ani,
5,A,Autumn,AUT,F,Takeover,3/18/15,,Ani,
6,A,Autumn,AUT,F,END,12/26/15,,Ani,
1,A,Avatar,AVA,F,DOB,9/25/11,Natal,Aiwa,
2,A,Avatar,AVA,F,START,9/25/11,,Aiwa,
3,A,Avatar,AVA,F,Takeover,3/1/13,,Aiwa,
4,A,Avatar,AVA,F,Independent,3/9/13,Natal,Aiwa,
5,A,Avatar,AVA,F,Takeover,3/18/15,,Aiwa,
6,A,Avatar,AVA,F,END,12/26/15,,Aiwa,
1,A,Avett,AVE,M,DOB,2/17/14,Natal,Aiwa,
2,A,Avett,AVE,M,START,3/5/14,Natal,Aiwa,
3,A,Avett,AVE,M,Takeover,3/18/15,Natal,Aiwa,
4,A,Avett,AVE,M,Independent,4/20/15,Natal,Aiwa,
5,A,Avett,AVE,M,DOD,4/29/15,Natal,Aiwa,
6,A,Avett,AVE,M,END,4/29/15,Natal,Aiwa,
1,unknown,Avon,AVO,M,DOB,1/12/01,,,
3,A,Avon,AVO,M,START,4/15/09,Leader,,
2,A,Avon,AVO,M,Takes over unit,4/15/09,Leader,,
5,AMG,Avon,AVO,M,Joins AMG,3/1/13,Bachelor,,
4,A,Avon,AVO,M,Overthrown,3/1/13,Former leader,,
6,AMG,Avon,AVO,M,END,3/2/13,Bachelor,,
1,B,Babe,BAB,F,DOB,10/30/07,Natal,,
2,B,Babe,BAB,F,Independent,9/29/08,Natal,,
3,B,Babe,BAB,F,Takeover,7/24/09,,,
4,B1,Babe,BAB,F,Fission,11/1/09,,,
5,B1,Babe,BAB,F,START,12/30/11,P,,
6,B1,Babe,BAB,F,Female maturation,4/3/12,C,,
7,B1,Babe,BAB,F,Takeover,4/5/13,C,,
8,B1,Babe,BAB,F,Emigration - Adult female,9/16/13,C,,
10,Q,Babe,BAB,F,Fusion,9/16/13,,,
9,Q,Babe,BAB,F,Immigration - Adult female,9/16/13,C,,
11,Q,Babe,BAB,F,DOD,4/14/14,,,
12,Q,Babe,BAB,F,END,4/14/14,,,
1,B1,Baffles,BAF,M,DOB,10/26/12,Natal,Beatrice,
2,B1,Baffles,BAF,M,START,10/26/12,Natal,Beatrice,
3,B1,Baffles,BAF,M,Independent,8/21/13,Natal,Beatrice,
4,B1,Baffles,BAF,M,DOD,12/20/13,Natal,Beatrice,
5,B1,Baffles,BAF,M,END,12/20/13,Natal,Beatrice,
1,T,Baggins,BAG,M,DOB,9/9/08,Natal,Tea,
2,T,Baggins,BAG,M,START,9/9/08,,Tea,
3,T,Baggins,BAG,M,Independent,2/13/10,Natal,Tea,
4,T,Baggins,BAG,M,Subadult 2,6/1/14,,,
5,T,Baggins,BAG,M,END,12/26/15,,Tea,
1,B1,Bajaj,BAJ,F,DOB,9/14/14,Natal,Buna,
2,B1,Bajaj,BAJ,F,START,9/14/14,Natal,Buna,
3,B1,Bajaj,BAJ,F,END,12/26/15,,Buna,
1,B1,Balthazar,BAL,M,DOB,2/16/12,Natal,Birtha,
2,B1,Balthazar,BAL,M,START,2/16/12,,Birtha,
3,B1,Balthazar,BAL,M,Takeover,4/5/13,Natal,Birtha,
4,B1,Balthazar,BAL,M,Independent,4/24/13,Natal,Birtha,
5,B1,Balthazar,BAL,M,Mom died,6/6/13,Natal,Birtha,
6,B1,Balthazar,BAL,M,DOD,4/30/14,Natal,Birtha,
7,B1,Balthazar,BAL,M,END,4/30/14,Natal,Birtha,
1,B,Barbara,BAR,F,DOB,12/1/98,Natal,,
5,B,Barbara,BAR,F,Birth,12/15/04,L,,Beverly
6,B,Barbara,BAR,F,START,2/1/06,L,,Beverly
7,B,Barbara,BAR,F,Takeover,4/17/06,L,,Beverly
8,B,Barbara,BAR,F,Wean (swell),4/18/06,C,,Beverly
9,B,Barbara,BAR,F,Conception,4/30/07,P,,Babe
10,B,Barbara,BAR,F,Birth,10/30/07,L,,Babe
11,B,Barbara,BAR,F,Wean (swell),9/29/08,C,,Babe
12,B,Barbara,BAR,F,Takeover,7/24/09,C,,
13,B,Barbara,BAR,F,Conception,10/11/09,P,,Biera
14,B1,Barbara,BAR,F,Fission,11/1/09,P,,Biera
15,B1,Barbara,BAR,F,Birth,4/12/10,L,,Biera
16,B1,Barbara,BAR,F,Wean (swell),3/5/11,C,,Biera
17,B1,Barbara,BAR,F,Conception,3/6/11,P,,Berbere
18,B1,Barbara,BAR,F,Birth,9/5/11,L,,Berbere
19,B1,Barbara,BAR,F,Takeover,4/5/13,L,,Berbere
20,B1,Barbara,BAR,F,Wean (swell),5/20/13,C,,Berbere
21,B1,Barbara,BAR,F,Conception,11/30/13,P,,Burpee
22,B1,Barbara,BAR,F,Birth,6/1/14,L,,Burpee
23,B1,Barbara,BAR,F,Inf Death,4/29/15,C,,Burpee
24,B1,Barbara,BAR,F,END,12/26/15,,,
3,B,Barbara,BAR,F,Female maturation,NA,C,,
4,B,Barbara,BAR,F,First Birth,NA,L,,
2,B,Barbara,BAR,F,Independent,NA,Natal,,
1,B1,Basil,BAS,F,DOB,5/25/14,Natal,Brindle,
2,B1,Basil,BAS,F,START,7/1/14,,Brindle,
3,B1,Basil,BAS,F,END,12/26/15,,Brindle,
1,B,Beatrice,BEA,F,DOB,9/9/98,Natal,Bryonny,
4,B,Beatrice,BEA,F,First Birth,12/15/04,L,Bryonny,Bitsy
6,B,Beatrice,BEA,F,Takeover,4/17/06,L,Bryonny,Bitsy
7,B,Beatrice,BEA,F,START,5/17/06,C,Bryonny,
8,B,Beatrice,BEA,F,Conception,12/26/06,P,Bryonny,Buffy
9,B,Beatrice,BEA,F,Birth,6/27/07,L,Bryonny,Buffy
10,B,Beatrice,BEA,F,Wean (swell),5/17/08,C,Bryonny,Buffy
11,B,Beatrice,BEA,F,Takeover,7/24/09,C,Bryonny,
12,B1,Beatrice,BEA,F,Fission,11/1/09,C,Bryonny,
13,B1,Beatrice,BEA,F,Conception,1/14/10,P,Bryonny,Byork
14,B1,Beatrice,BEA,F,Birth,7/16/10,L,Bryonny,Byork
15,B1,Beatrice,BEA,F,Wean (swell),2/21/12,C,Bryonny,Byork
16,B1,Beatrice,BEA,F,Conception,4/29/12,P,Bryonny,Baffles
17,B1,Beatrice,BEA,F,Birth,10/26/12,L,Bryonny,Baffles
N,B,Beatrice,BEA,F,Cyst,2/1/13,,,
18,B1,Beatrice,BEA,F,Takeover,4/5/13,L,Bryonny,Baffles
19,B1,Beatrice,BEA,F,Wean (swell),8/21/13,C,Bryonny,Baffles
20,B1,Beatrice,BEA,F,Mom died,12/20/13,,Bryonny,
21,B1,Beatrice,BEA,F,DOD,12/4/14,P?,Bryonny,
22,B1,Beatrice,BEA,F,END,12/4/14,P?,Bryonny,
3,B,Beatrice,BEA,F,Female maturation,NA,C,Bryonny,
2,B,Beatrice,BEA,F,Independent,NA,Natal,Bryonny,
5,B,Beatrice,BEA,F,Wean (swell),NA,C,Bryonny,Bitsy
1,B,Becky,BEC,F,DOB,12/31/08,Natal,Birtha,
2,B,Becky,BEC,F,START,12/31/08,,Birtha,
3,B1,Becky,BEC,F,DOD,1/15/09,,Birtha,
4,B1,Becky,BEC,F,END,1/15/09,,Birtha,
1,B,Bee,BEE,F,DOB,11/11/02,Natal,unknown,
3,B,Bee,BEE,F,Takeover,4/17/06,,unknown,
4,B,Bee,BEE,F,Female maturation,4/12/08,C,unknown,
5,B,Bee,BEE,F,START,4/12/08,C,unknown,
6,B,Bee,BEE,F,Conception,8/17/08,P,unknown,Blarney
7,B,Bee,BEE,F,First Birth,2/16/09,L,unknown,Blarney
8,B,Bee,BEE,F,Takeover,7/24/09,L,unknown,Blarney
9,B,Bee,BEE,F,Wean (swell),9/18/09,C,unknown,Blarney
10,B1,Bee,BEE,F,Fission,11/1/09,C,unknown,
11,B1,Bee,BEE,F,Conception,3/30/10,P,unknown,Waggle-dance
12,B1,Bee,BEE,F,Birth,9/29/10,L,unknown,Waggle-dance
13,B1,Bee,BEE,F,Wean (swell),6/28/12,C,unknown,Waggle-dance
14,B1,Bee,BEE,F,Takeover,4/5/13,C,unknown,
15,B1,Bee,BEE,F,Emigration - Adult female,9/16/13,C,unknown,
17,Q,Bee,BEE,F,Fusion,9/16/13,,,
16,Q,Bee,BEE,F,Immigration - Adult female,9/16/13,C,unknown,
18,Q,Bee,BEE,F,Conception,11/14/13,P,unknown,Qwoffi
19,Q,Bee,BEE,F,Birth,5/15/14,L,unknown,Qwoffi
20,Q,Bee,BEE,F,END,12/26/15,,,
2,B,Bee,BEE,F,Independent,NA,Natal,unknown,
1,B1,Beka,BEK,M,DOB,12/21/13,Natal,Bimbi,
2,B1,Beka,BEK,M,START,12/21/13,Natal,Bimbi,
3,B1,Beka,BEK,M,END,12/26/15,,Bimbi,
1,B,Bella,BEL,F,DOB,8/14/08,Natal,Bombolino,
2,B,Bella,BEL,F,Independent,7/10/09,Natal,Bombolino,
3,B,Bella,BEL,F,Takeover,7/24/09,,Bombolino,
4,B2,Bella,BEL,F,Fission,11/1/09,,Bombolino,
5,B2,Bella,BEL,F,END,6/17/11,,Bombolino,
6,B,Bella,BEL,F,START,8/14/08,,Bombolino,
1,unknown,Benzine,BEN,M,DOB,7/24/97,,,
2,C,Benzine,BEN,M,START,1/29/08,Follower,,
3,C,Benzine,BEN,M,Fission,4/19/08,Follower,,
4,C1,Benzine,BEN,M,Fission,5/27/08,Follower,,
5,AMG,Benzine,BEN,M,Joins AMG,8/11/08,Bachelor,,
8,K,Benzine,BEN,M,DIS,5/30/09,Follower,,
7,K,Benzine,BEN,M,END,5/30/09,Follower,,
1,B1,Berbere,BER,F,DOB,9/5/11,Natal,Barbara,
2,B1,Berbere,BER,F,START,9/5/11,,Barbara,
3,B1,Berbere,BER,F,Takeover,4/5/13,,Barbara,
4,B1,Berbere,BER,F,Independent,5/20/13,Natal,Barbara,
5,B1,Berbere,BER,F,DOD,10/29/13,,Barbara,
6,B1,Berbere,BER,F,END,10/29/13,,Barbara,
1,B,Betty,BET,F,DOB,8/22/88,Natal,,
5,B,Betty,BET,F,Birth,9/4/02,L,,Bombolino
6,B,Betty,BET,F,Birth,12/15/04,L,,Crocker
7,B,Betty,BET,F,START,2/1/06,L,,Crocker
8,B,Betty,BET,F,Takeover,4/17/06,L,,Crocker
9,B,Betty,BET,F,Wean (swell),5/12/06,C,,Crocker
10,B,Betty,BET,F,Conception,5/13/06,P,,Cisco
11,B,Betty,BET,F,Birth,11/12/06,L,,Cisco
12,B,Betty,BET,F,Wean (swell),4/12/08,C,,Cisco
13,B,Betty,BET,F,Conception,5/14/08,P,,Beyonce
14,B,Betty,BET,F,Birth,11/13/08,L,,Beyonce
15,B,Betty,BET,F,Takeover,7/24/09,L,,Beyonce
16,B,Betty,BET,F,Wean (swell),7/26/09,C,,Beyonce
17,B2,Betty,BET,F,Fission,11/1/09,C,,
18,B2,Betty,BET,F,DOD,8/17/10,,,
19,B2,Betty,BET,F,END,8/17/10,,,
3,B,Betty,BET,F,Female maturation,NA,C,,
4,B,Betty,BET,F,First Birth,NA,L,,
2,B,Betty,BET,F,Independent,NA,Natal,,
1,B,Beverly,BEV,F,DOB,12/15/04,Natal,Barbara,
2,B,Beverly,BEV,F,Independent,4/18/06,Natal,Barbara,
3,B1,Beverly,BEV,F,Fission,11/1/09,,Barbara,
4,B1,Beverly,BEV,F,Female maturation,4/15/10,C,Barbara,
5,B1,Beverly,BEV,F,START,4/15/10,C,Barbara,
6,B1,Beverly,BEV,F,Conception,7/29/11,P,Barbara,Borneo
7,B1,Beverly,BEV,F,First Birth,1/27/12,L,Barbara,Borneo
8,B1,Beverly,BEV,F,Takeover,4/5/13,L,Barbara,
9,B1,Beverly,BEV,F,Wean (swell),6/5/13,C,Barbara,Borneo
10,B1,Beverly,BEV,F,Conception,4/5/14,P,Barbara,Boulder
11,B1,Beverly,BEV,F,Birth,10/2/14,L,Barbara,Boulder
12,B1,Beverly,BEV,F,END,12/26/15,,Barbara,
1,B,Beyonce,BEY,F,DOB,11/13/08,Natal,Betty,
2,B,Beyonce,BEY,F,START,11/13/08,,Betty,
3,B,Beyonce,BEY,F,Independent,7/26/09,Natal,Betty,
4,B2,Beyonce,BEY,F,Fission,11/1/09,,Betty,
5,B2,Beyonce,BEY,F,Mom died,8/17/10,,,
6,B2,Beyonce,BEY,F,DOD,NA,,Betty,
7,B2,Beyonce,BEY,F,END,NA,,Betty,
1,B1,Bianca,BIA,F,DOB,8/16/10,Natal,Buna,
2,B1,Bianca,BIA,F,START,8/16/10,Natal,Buna,
3,B1,Bianca,BIA,F,Takeover,4/5/13,Natal,Buna,
5,B1,Bianca,BIA,F,Female maturation,8/21/14,Natal,Buna,
6,B1,Bianca,BIA,F,END,12/26/15,,Buna,
4,B1,Bianca,BIA,F,Independent,NA,Natal,Buna,
1,N,Bicha,BIC,M,DOB,10/1/06,Natal,Nancy,
2,N,Bicha,BIC,M,START,10/1/06,Natal,Nancy,
3,N,Bicha,BIC,M,Mom died,8/19/07,,,
4,N,Bicha,BIC,M,END,NA,,Nancy,
1,B1,Biera,BIE,F,DOB,4/12/10,Natal,Barbara,
2,B1,Biera,BIE,F,Independent,3/5/11,Natal,Barbara,
3,B1,Biera,BIE,F,START,4/12/10,Natal,Barbara,
4,B1,Biera,BIE,F,Takeover,4/5/13,Natal,Barbara,
5,B1,Biera,BIE,F,Female maturation,1/3/15,C,Barbara,
6,B1,Biera,BIE,F,END,12/26/15,,Barbara,
1,B1,Biggie,BIG,M,DOB,7/19/14,Natal,Bronte,
2,B1,Biggie,BIG,M,START,7/19/14,Natal,Bronte,
3,B1,Biggie,BIG,M,DOD,3/2/15,Natal,Bronte,
4,B1,Biggie,BIG,M,END,3/2/15,Natal,Bronte,
1,H,Bila,BIL,M,DOB,7/1/05,Natal,Helen,
2,H,Bila,BIL,M,START,1/1/06,Natal,Helen,
3,H,Bila,BIL,M,Independent,6/3/06,Natal,Helen,
4,H,Bila,BIL,M,END,NA,,Helen,
1,B,Bimbi,BIM,F,DOB,5/7/07,Natal,Bryonny,
2,B,Bimbi,BIM,F,Independent,5/9/08,Natal,Bryonny,
3,B,Bimbi,BIM,F,Takeover,7/24/09,,Bryonny,
4,B1,Bimbi,BIM,F,Fission,11/1/09,,Bryonny,
5,B1,Bimbi,BIM,F,START,5/7/07,,Bryonny,
6,B1,Bimbi,BIM,F,Female maturation,5/4/12,C,Bryonny,
7,B1,Bimbi,BIM,F,Takeover,4/5/13,C,Bryonny,
8,B1,Bimbi,BIM,F,Conception,7/8/13,P,Bryonny,Beka
9,B1,Bimbi,BIM,F,Mom died,12/20/13,P,Bryonny,Beka
10,B1,Bimbi,BIM,F,First Birth,1/8/14,L,Bryonny,Beka
11,B1,Bimbi,BIM,F,Wean (swell),11/9/15,C,Bryonny,Beka
12,B1,Bimbi,BIM,F,END,12/26/15,,Bryonny,
1,B,Birtha,BIR,F,DOB,6/12/91,Natal,,
5,B,Birtha,BIR,F,START,2/1/06,L,,unknown
6,B,Birtha,BIR,F,Takeover,4/17/06,L,,unknown
7,B,Birtha,BIR,F,Wean (swell),5/6/06,C,,unknown
8,B,Birtha,BIR,F,Conception,5/13/06,P,,Bronte
9,B,Birtha,BIR,F,Birth,11/12/06,L,,Bronte
10,B,Birtha,BIR,F,Wean (swell),5/9/08,C,,Bronte
11,B,Birtha,BIR,F,Conception,7/1/08,P,,Becky
12,B,Birtha,BIR,F,Birth,12/31/08,L,,Becky
13,B,Birtha,BIR,F,Inf Death,1/15/09,C,,Becky
14,B,Birtha,BIR,F,Takeover,7/24/09,C,,
N,B,Birtha,BIR,F,Cyst,10/1/09,,,
15,B1,Birtha,BIR,F,Fission,11/1/09,C,,
16,B1,Birtha,BIR,F,Conception,11/10/09,P,,Buggaboo
17,B1,Birtha,BIR,F,Birth,5/12/10,L,,Buggaboo
18,B1,Birtha,BIR,F,Wean (swell),8/16/11,C,,Buggaboo
19,B1,Birtha,BIR,F,Conception,8/17/11,P,,Balthazar
20,B1,Birtha,BIR,F,Inf Death,12/10/11,C,,Buggaboo
21,B1,Birtha,BIR,F,Birth,2/16/12,L,,Balthazar
22,B1,Birtha,BIR,F,Takeover,4/5/13,L,,
23,B1,Birtha,BIR,F,Wean (swell),4/24/13,C,,Balthazar
24,B1,Birtha,BIR,F,DOD,6/6/13,,,
25,B1,Birtha,BIR,F,END,6/6/13,,,
3,B,Birtha,BIR,F,Female maturation,NA,C,,
4,B,Birtha,BIR,F,First Birth,NA,L,,
2,B,Birtha,BIR,F,Independent,NA,Natal,,
1,B,Bitsy,BIT,F,DOB,12/15/04,Natal,Beatrice,
2,B,Bitsy,BIT,F,START,12/15/04,,Beatrice,
