NAME,ID,SEX,InfWean,IWDATE,"SEXMat (0-no, 1- yes, 3, not yet/censored)",SMDATE,EndDate,Dead (1) or Gone/ALIVE (0),Died W Mom,TAKEOVER BEFORE SEXM,TAKEOVER DATE 1,TAKEOVER DATE 2,TAKEOVER DATE 3,TAKEOVER DATE 4,TAKEOVER DATE 5,TAKEOVER DATE 6,TAKEOVER DATE 7,TAKEOVER DATE 8,DOB,MOM,MomCyst,,,,,,,,,
Dave,DAV,M,0,NA,0,NA,6/25/09,1,0,N,,,,,,,,,6/9/09,Colleen,0,,,,,,,,,
Foo,FOO,F,0,NA,0,NA,7/23/09,1,0,N,,,,,,,,,4/22/09,Faye,0,,,,,,,,,
Meg,MEG,F,3,NA,3,NA,10/25/09,1,0,,,,,,,,,,2/9/09,Midge,0,,,,,,,,,
Klondike,KLO,F,0,NA,0,NA,1/1/10,1,0,Y,4/5/09,,,,,,,,3/11/07,Kara,0,,,,,,,,,
Hoe,HOE,F,0,NA,0,NA,2/1/10,1,1,N,,,,,,,,,3/24/09,Hadar,0,,,,,,,,,
Hunter,HUN,M,0,NA,0,NA,3/5/10,1,0,N,,,,,,,,,2/1/10,Sweetpea,0,,,,,,,,,
Smuckers,SMU,F,0,NA,0,NA,3/27/10,1,0,Y,2/19/10,,,,,,,,2/1/10,Sookie,0,,,,,,,,,
Louis,LOU,M,0,NA,0,NA,5/19/10,1,1,N,,,,,,,,,9/10/09,Lamu,0,,,,,,,,,
Yippiecayay,YIP,M,0,NA,0,NA,6/1/10,1,0,N,,,,,,,,,5/21/10,Kima,0,,,,,,,,,
Vague,VAG,F,0,NA,0,NA,8/5/10,1,1,N,,,,,,,,,2/12/10,Veronica,0,,,,,,,,,
Kocomo,KOC,M,0,NA,0,NA,2/17/11,1,0,N,,,,,,,,,8/28/10,Keegle,0,,,,,,,,,
Gemma,GEM,M,0,NA,0,NA,5/20/11,1,1,N,,,,,,,,,12/8/10,Colleen,0,,,,,,,,,
Vanessish,VAN,F,0,NA,0,NA,7/24/11,1,0,Y,2/18/11,4/7/11,,,,,,,10/13/09,Vye,0,,,,,,,,,
Lbaby,LBA,M,0,NA,0,NA,12/8/11,1,0,N,,,,,,,,,11/22/11,Lolita,0,,,,,,,,,
Oink,OIN,M,0,NA,0,NA,12/9/11,1,0,N,,,,,,,,,11/4/11,Moo,0,,,,,,,,,
Kama Sutra,KAM,F,0,NA,0,NA,1/7/12,1,0,N,,,,,,,,,9/30/11,Keegle,0,,,,,,,,,
Ruce,RUC,F,0,NA,0,NA,1/27/12,1,0,N,,,,,,,,,10/26/10,Rita,0,,,,,,,,,
Tyrone,TYR,M,0,NA,0,NA,3/26/12,1,1,N,,,,,,,,,7/14/11,Tail,0,,,,,,,,,
Cranberry,CRA,F,0,NA,0,NA,6/15/12,1,0,Y,5/30/12,6/1/12,,,,,,,9/21/11,Cassie,0,,,,,,,,,
Xicato,XIC,M,0,NA,0,NA,6/16/12,1,0,N,,,,,,,,,9/17/11,Trudy,0,,,,,,,,,
Vasco,VAS,M,0,NA,0,NA,6/18/12,1,0,Y,10/25/11,,,,,,,,9/24/11,Mimi,0,,,,,,,,,
Pterodactyl,PTE,M,0,NA,0,NA,8/1/12,1,0,N,,,,,,,,,9/5/11,Tiny,0,,,,,,,,,
Lulu,LUL,F,0,NA,0,NA,8/8/12,1,0,N,,,,,,,,,1/3/12,Lorna,0,,,,,,,,,
Mystery,MYS,F,0,NA,0,NA,8/11/12,1,0,Y,3/20/12,,,,,,,,10/15/11,Monica,0,,,,,,,,,
Hazel,HAZ,F,0,NA,0,NA,10/1/12,1,1,N,,,,,,,,,9/21/11,Himanot,0,,,,,,,,,
Cepheus,CEP,M,0,NA,0,NA,3/28/13,1,0,N,,,,,,,,,1/28/13,Capricorn,0,,,,,,,,,
Teeny,TEE,F,0,NA,0,NA,6/11/13,1,1,N,,,,,,,,,4/11/13,Tiny,0,,,,,,,,,
Ttt,TTT,F,0,NA,0,NA,8/5/13,1,0,N,,,,,,,,,7/16/13,Tipi,0,,,,,,,,,
Nico,NIC,M,0,NA,0,NA,8/26/13,1,0,N,,,,,,,,,6/27/13,Nymphadora,0,,,,,,,,,
Cag,CAG,M,0,NA,0,NA,9/16/13,1,0,Y,8/31/13,9/5/13,,,,,,,3/17/13,Chuxi,0,,,,,,,,,
Mylo,MYL,M,0,NA,0,NA,1/29/14,1,0,N,,,,,,,,,10/14/13,Mimi,0,,,,,,,,,
Ziggy,ZIG,M,0,NA,0,NA,3/26/14,1,0,N,,,,,,,,,10/17/13,Zoo,0,,,,,,,,,
Kirby,KIR,M,0,NA,0,NA,4/2/14,1,0,Y,3/22/14,,,,,,,,6/30/13,Kylie,0,,,,,,,,,
Trouble,TRO,M,0,NA,0,NA,8/5/14,1,0,N,,,,,,,,,8/2/14,Tess,0,,,,,,,,,
Niguse,NIG,M,0,NA,0,NA,12/24/14,1,0,N,,,,,,,,,8/14/14,Nadia,0,,,,,,,,,
Biggie,BIG,M,0,NA,0,NA,3/2/15,1,0,N,,,,,,,,,7/19/14,Bronte,0,,,,,,,,,
Guilford,GUI,F,0,NA,0,NA,10/22/15,1,1,N,,,,,,,,,10/15/15,Gypsy,0,,,,,,,,,
Aren,ARE,M,0,NA,0,NA,8/14/06,1,1,N,,,,,,,,,12/1/05,Alice,1,,,,,,,,,
Seed,SEE,M,0,NA,0,NA,1/24/07,1,1,N,,,,,,,,,12/29/06,Apple,1,,,,,,,,,
Lychen,LYC,M,0,NA,0,NA,1/24/07,1,1,N,,,,,,,,,9/5/06,Lefty,1,,,,,,,,,
Sac,SAC,M,0,NA,0,NA,1/24/07,1,1,N,,,,,,,,,12/1/05,Lima,1,,,,,,,,,
Magdalene,MAG,F,0,NA,0,NA,5/1/08,1,0,Y,4/22/08,,,,,,,,12/14/07,Mary,1,,,,,,,,,
Bokkie,BOK,F,0,NA,0,NA,7/16/08,1,1,N,,,,,,,,,6/16/07,Boo,1,,,,,,,,,
Fox,FOX,?,0,NA,0,NA,6/17/09,1,0,N,,,,,,,,,10/7/08,Fifa,1,,,,,,,,,
Gynnie,GYN,F,0,NA,0,NA,8/7/10,1,1,N,,,,,,,,,10/14/09,Ginger,1,,,,,,,,,
Alcide,ALC,M,0,NA,0,NA,9/21/10,1,1,N,,,,,,,,,2/8/10,Apie,1,,,,,,,,,
Klipspringer,KLI,F,0,NA,0,NA,6/8/11,1,1,N,,,,,,,,,3/1/10,Kinky,1,,,,,,,,,
Moria,MOR,F,0,NA,0,NA,11/30/11,1,0,N,,,,,,,,,11/18/11,Mary,1,,,,,,,,,
Ccc,CCC,F,0,NA,0,NA,12/21/12,1,1,N,,,,,,,,,12/20/12,Coo,1,,,,,,,,,
Mugbug,MUG,M,0,NA,0,NA,8/11/13,1,0,Y,2/22/13,5/12/13,7/20/13,,,,,,9/15/12,Mary,1,,,,,,,,,
Momo,MOM,M,0,NA,0,NA,4/29/15,1,1,N,,,,,,,,,12/10/13,Muppet,1,,,,,,,,,
Coo,COO,F,1,UN,1,3/1/07,12/21/12,1,0,N,,,,,,,,,7/18/02,Corona,0,,,,,,,,,
Zipadee,ZIP,F,1,UN,1,9/20/07,2/15/14,1,0,Y,4/16/06,,,,,,,,11/6/02,Zion,0,,,,,,,,,
Chihuahua,CHI,F,1,UN,1,9/20/08,11/2/10,1,0,,,,,,,,,,6/15/04,Contico,0,,,,,,,,,
Apie,API,F,1,UN,1,3/7/09,9/21/10,1,0,,,,,,,,,,6/12/03,Ani,0,,,,,,,,,
Tuk Tuk,TUK,F,1,UN,1,4/8/10,10/13/13,1,0,Y,8/8/09,2/26/10,4/3/12,,,,,,11/15/05,Tripod,0,,,,,,,,,
Thandi,THA,F,1,UN,1,7/17/12,9/8/14,1,0,Y,8/8/09,2/26/10,4/3/12,,,,,,11/16/07,Tripod,0,,,,,,,,,
Pelican,PEL,M,1,UN,0,NA,7/28/09,1,WITHIN A MONTH,N,,,,,,,,,7/19/07,Contico,0,,,,,,,,,
Bitsy,BIT,F,1,UN,0,NA,11/1/09,1,0,N,,,,,,,,,12/15/04,Beatrice,0,,,,,,,,,
Oakley,OAK,M,1,UN,0,NA,11/3/12,1,0,N,,,,,,,,,10/24/11,Hester,0,,,,,,,,,
Dude,DUD,M,1,UN,0,NA,12/16/13,1,0,N,,,,,,,,,8/10/08,Zipadee,0,,,,,,,,,
Mesquite,MES,F,1,UN,0,NA,UN,1,0,Y,10/24/14,,,,,,,,5/1/04,Meena,0,,,,,,,,,
Kinky,KIN,F,1,UN,1,UN,6/30/13,1,0,,,,,,,,,,11/24/03,Kara,0,,,,,,,,,
Beatrice,BEA,F,1,UN,1,UN,12/4/14,1,0,,,,,,,,,,9/9/98,Bryonny,0,,,,,,,,,
Boo,BOO,F,1,UN,1,5/19/06,7/16/08,1,NA,Y,4/17/06,,,,,,,,10/5/01,UN,UN,,,,,,,,,
Gypsy,GYP,F,1,UN,1,6/14/06,10/22/15,1,NA,N,,,,,,,,,7/18/01,UN,UN,,,,,,,,,
Himanot,HIM,F,1,UN,1,3/2/07,10/1/12,1,NA,N,,,,,,,,,7/19/02,UN,UN,,,,,,,,,
Cake,CAK,F,1,UN,1,5/3/07,9/9/11,1,NA,N,,,,,,,,,9/19/02,UN,UN,,,,,,,,,
Cee,CEE,F,1,UN,1,1/25/08,2/27/14,1,NA,,,,,,,,,,2/15/03,UN,UN,,,,,,,,,
Dawn,DAW,F,1,UN,1,6/21/08,7/9/12,1,NA,Y,6/17/08,,,,,,,,11/8/03,UN,UN,,,,,,,,,
Corona,COR,F,1,UN,1,UN,9/1/94,1,NA,,,,,,,,,,9/1/94,UN,UN,,,,,,,,,
Maude,MAU,F,1,UN,1,UN,5/19/06,1,NA,,,,,,,,,,5/25/82,UN,UN,,,,,,,,,
Alice,ALI,F,1,UN,1,UN,8/14/06,1,NA,,,,,,,,,,8/20/82,UN,UN,,,,,,,,,
Partial,PAR,F,1,UN,1,UN,9/1/06,1,NA,,,,,,,,,,9/4/93,UN,UN,,,,,,,,,
Celia,CEL,F,1,UN,1,UN,9/13/06,1,NA,,,,,,,,,,3/10/99,UN,UN,,,,,,,,,
Apple,APP,F,1,UN,1,UN,1/24/07,1,NA,,,,,,,,,,1/29/88,UN,UN,,,,,,,,,
Lefty,LEF,F,1,UN,1,UN,1/24/07,1,NA,,,,,,,,,,1/30/83,UN,UN,,,,,,,,,
Lima,LIM,F,1,UN,1,UN,1/24/07,1,NA,,,,,,,,,,8/26/99,UN,UN,,,,,,,,,
Patsy,PAT,F,1,UN,1,UN,3/27/07,1,NA,,,,,,,,,,3/31/88,UN,UN,,,,,,,,,
Holly,HOL,F,1,UN,1,UN,4/11/07,1,NA,,,,,,,,,,2/3/04,UN,UN,,,,,,,,,
Hillary,HIL,F,1,UN,1,UN,6/22/07,1,NA,,,,,,,,,,6/28/83,UN,UN,,,,,,,,,
Trapezoid,TRA,F,1,UN,1,UN,7/22/07,1,NA,,,,,,,,,,7/25/94,UN,UN,,,,,,,,,
Flo,FLO,F,1,UN,1,UN,8/19/07,1,NA,,,,,,,,,,8/25/83,UN,UN,,,,,,,,,
Nancy,NAN,F,1,UN,1,UN,8/19/07,1,NA,,,,,,,,,,8/22/94,UN,UN,,,,,,,,,
Arlene,ARL,F,1,UN,1,UN,3/12/08,1,NA,,,,,,,,,,3/18/84,UN,UN,,,,,,,,,
Claudia,CLA,F,1,UN,1,UN,3/21/08,1,NA,,,,,,,,,,3/28/81,UN,UN,,,,,,,,,
Tef,TEF,F,1,UN,1,UN,9/8/08,1,NA,,,,,,,,,,9/16/95,UN,UN,,,,,,,,,
Maxine,MAX,F,1,UN,1,UN,10/4/08,1,NA,,,,,,,,,,10/8/92,UN,UN,,,,,,,,,
Zaybar,ZAY,F,1,UN,1,UN,10/10/08,1,NA,,,,,,,,,,2/5/89,UN,UN,,,,,,,,,
Zelda,ZEL,F,1,UN,1,UN,1/10/09,1,NA,,,,,,,,,,1/14/96,UN,UN,,,,,,,,,
Nima,NIM,F,1,UN,1,UN,3/5/09,1,NA,,,,,,,,,,3/9/93,UN,UN,,,,,,,,,
Tripod,TRI,F,1,UN,1,UN,4/1/09,1,NA,,,,,,,,,,4/5/93,UN,UN,,,,,,,,,
Greta,GRE,F,1,UN,1,UN,5/5/09,1,NA,,,,,,,,,,5/11/85,UN,UN,,,,,,,,,
Dotty,DOT,F,1,UN,1,UN,5/14/09,1,NA,,,,,,,,,,5/20/85,UN,UN,,,,,,,,,
Contico,CON,F,1,UN,1,UN,7/1/09,1,NA,,,,,,,,,,7/6/90,UN,UN,,,,,,,,,
Rhonda,RHO,F,1,UN,1,UN,7/7/09,1,NA,,,,,,,,,,7/10/96,UN,UN,,,,,,,,,
Mabel,MAB,F,1,UN,1,UN,8/7/09,1,NA,,,,,,,,,,8/11/93,UN,UN,,,,,,,,,
Nokia,NOK,F,1,UN,1,UN,9/1/09,1,NA,,,,,,,,,,9/4/96,UN,UN,,,,,,,,,
Hadar,HAD,F,1,UN,1,UN,2/1/10,1,NA,,,,,,,,,,2/6/91,UN,UN,,,,,,,,,
Helen,HEL,F,1,UN,1,UN,2/23/10,1,NA,,,,,,,,,,2/27/94,UN,UN,,,,,,,,,
Lamu,LAM,F,1,UN,1,UN,4/2/10,1,NA,,,,,,,,,,5/24/91,UN,UN,,,,,,,,,
JLO,JLO,F,1,UN,1,UN,4/12/10,1,NA,,,,,,,,,,2/6/90,UN,UN,,,,,,,,,
Tubby,TUB,F,1,UN,1,UN,6/23/10,1,NA,,,,,,,,,,7/31/94,UN,UN,,,,,,,,,
Veronica,VER,F,1,UN,1,UN,8/5/10,1,NA,,,,,,,,,,8/9/94,UN,UN,,,,,,,,,
Lippy,LIP,F,1,UN,1,UN,8/6/10,1,NA,,,,,,,,,,8/12/86,UN,UN,,,,,,,,,
Ginger,GIN,F,1,UN,1,UN,8/7/10,1,NA,,,,,,,,,,8/12/91,UN,UN,,,,,,,,,
Betty,BET,F,1,UN,1,UN,8/17/10,1,NA,,,,,,,,,,8/22/88,UN,UN,,,,,,,,,
Kara,KAR,F,1,UN,1,UN,12/10/10,1,NA,,,,,,,,,,1/6/91,UN,UN,,,,,,,,,
Hope,HOP,F,1,UN,1,UN,2/22/11,1,NA,,,,,,,,,,2/26/95,UN,UN,,,,,,,,,
Lada,LAD,F,1,UN,1,UN,3/9/11,1,NA,,,,,,,,,,3/13/95,UN,UN,,,,,,,,,
Colleen,COL,F,1,UN,1,UN,5/10/11,1,NA,,,,,,,,,,5/25/89,UN,UN,,,,,,,,,
Grace,GRA,F,1,UN,1,UN,3/1/12,1,NA,,,,,,,,,,9/26/98,UN,UN,,,,,,,,,
Tail,TAI,F,1,UN,1,UN,3/26/12,1,NA,,,,,,,,,,4/8/84,UN,UN,,,,,,,,,
Vespa,VES,F,1,UN,1,UN,4/12/13,1,NA,,,,,,,,,,4/17/94,UN,UN,,,,,,,,,
Kima,KIM,F,1,UN,1,UN,5/24/13,1,NA,,,,,,,,,,5/30/91,UN,UN,,,,,,,,,
Birtha,BIR,F,1,UN,1,UN,6/6/13,1,NA,,,,,,,,,,6/12/91,UN,UN,,,,,,,,,
Tiny,TIN,F,1,UN,1,UN,6/11/13,1,NA,,,,,,,,,,6/16/94,UN,UN,,,,,,,,,
Cali,CAL,F,1,UN,1,UN,7/17/13,1,NA,,,,,,,,,,7/24/88,UN,UN,,,,,,,,,
Bryonny,BRY,F,1,UN,1,UN,12/20/13,1,NA,,,,,,,,,,12/26/88,UN,UN,,,,,,,,,
Zimbaba,ZIM,F,1,UN,1,UN,7/28/15,1,NA,,,,,,,,,,6/7/88,UN,UN,,,,,,,,,
Mouse,MOU,F,1,2/20/06,1,8/24/09,12/26/15,0,NA,Y,4/22/08,,,,,,,,12/15/04,Mimi,0,,,,,,,,,
Beverly,BEV,F,1,4/18/06,1,4/15/10,12/26/15,0,NA,,,,,,,,,,12/15/04,Barbara,0,,,,,,,,,
Bolivia,BOL,M,1,4/18/06,3,NA,4/18/06,0,NA,,,,,,,,,,1/1/05,Barbara,0,,,,,,,,,
Crocker,CRO,M,1,5/12/06,3,NA,5/12/06,0,NA,,,,,,,,,,1/1/05,Betty,0,,,,,,,,,
Mandrill,MAN,M,1,5/17/06,3,NA,UN,0,NA,,,,,,,,,,1/1/05,Buna,0,,,,,,,,,
Roxanne,ROX,F,1,5/23/06,1,9/29/10,1/31/13,0,NA,Y,1/31/06,6/6/11,,,,,,,12/15/04,Roz,0,,,,,,,,,
Bila,BIL,M,1,6/3/06,3,NA,6/3/06,0,NA,,,,,,,,,,7/1/05,Helen,0,,,,,,,,,
Wonder,WON,F,1,6/5/06,1,UN,UN,0,NA,Y,5/30/06,,,,,,,,12/15/04,Wanda,0,,,,,,,,,
Maze,MAZ,F,1,6/14/06,1,9/15/09,12/26/15,0,NA,Y,4/22/08,,,,,,,,12/15/04,Monica,0,,,,,,,,,
Hal,HAL,M,1,6/14/06,3,NA,UN,0,NA,,,,,,,,,,3/1/05,Gladys,0,,,,,,,,,
Hummer,HUM,M,1,6/14/06,3,NA,UN,0,NA,,,,,,,,,,1/1/05,Grace,0,,,,,,,,,
Wish,WIS,F,1,6/16/06,3,NA,6/26/08,0,NA,Y,5/30/06,,,,,,,,12/15/04,Wendy,0,,,,,,,,,
Henry,HEN,M,1,6/26/06,3,NA,UN,0,NA,,,,,,,,,,2/1/05,Ginger,0,,,,,,,,,
Brindle,BRI,F,1,9/9/06,1,11/27/09,12/26/15,0,NA,Y,4/17/06,7/24/09,,,,,,,12/1/05,Bryonny,0,,,,,,,,,
Ceylon,CEY,F,1,12/25/06,1,11/10/09,12/26/15,0,NA,,,,,,,,,,6/15/05,Corona,0,,,,,,,,,
Pacifico,PAC,M,1,12/25/06,3,NA,1/24/07,0,NA,,,,,,,,,,3/11/05,UN,UN,,,,,,,,,
Capricorn,CAP,F,1,12/26/06,1,6/20/11,12/26/15,0,NA,,,,,,,,,,12/1/05,Cali,1,,,,,,,,,
Linzy,LIN,F,1,1/3/07,1,6/6/11,1/31/13,0,NA,,,,,,,,,,12/1/05,Lolita,0,,,,,,,,,
Puff,PUF,F,1,1/3/07,3,NA,4/12/08,0,NA,,,,,,,,,,6/1/05,Pita,0,,,,,,,,,
Fema,FEM,F,1,1/10/07,1,2/22/10,7/16/10,0,NA,,,,,,,,,,12/15/04,Fantine,0,,,,,,,,,
Madeline,MAD,F,1,1/11/07,1,9/21/10,12/26/15,0,NA,Y,4/22/08,1/12/10,,,,,,,10/1/05,Mary,0,,,,,,,,,
Felix,FEL,M,1,2/12/07,3,NA,UN,0,NA,,,,,,,,,,1/1/05,Farrah,0,,,,,,,,,
Haunt,HAU,F,1,2/27/07,1,6/3/11,1/31/13,0,NA,Y,2/27/07,3/26/08,6/7/08,,,,,,3/1/06,Hester,0,,,,,,,,,
Hot,HOT,F,1,4/11/07,3,NA,UN,0,NA,,,,,,,,,,1/1/07,Hon,0,,,,,,,,,
Talisman,TAL,M,1,4/16/07,1,12/3/11,12/26/15,0,NA,,,,,,,,,,11/1/05,Trapezoid,0,,,,,,,,,
Hate,HAT,F,1,4/17/07,1,7/16/12,1/31/13,0,NA,Y,3/26/08,6/7/08,,,,,,,1/3/07,Harriet,1,,,,,,,,,
Fasika,FAS,F,1,4/25/07,3,NA,UN,0,NA,,,,,,,,,,1/1/06,Faye,0,,,,,,,,,
Sardine,SAR,M,1,5/17/07,3,NA,UN,0,NA,,,,,,,,,,6/15/05,Maxine,0,,,,,,,,,
Little,LIT,F,1,5/19/07,1,6/6/11,1/31/13,0,NA,,,,,,,,,,12/15/04,Lorna,0,,,,,,,,,
Luna,LUN,F,1,5/19/07,1,10/10/11,1/31/13,0,NA,,,,,,,,,,12/1/05,Lisa,0,,,,,,,,,
Seymore,SEY,M,1,7/13/07,1,1/27/13,1/27/13,0,NA,,,,,,,,,,5/8/06,Mabel,0,,,,,,,,,
Rex,REX,M,1,7/14/07,3,NA,3/27/08,0,0,Y,2/26/07,,,,,,,,1/1/07,Hope,1,,,,,,,,,
Soc,SOC,M,1,8/21/07,3,NA,UN,0,NA,,,,,,,,,,12/1/05,Lamu,0,,,,,,,,,
Stan,STA,M,1,11/9/07,3,NA,UN,0,NA,,,,,,,,,,8/20/06,Meena,0,,,,,,,,,
Don Juan,DON,M,1,1/25/08,1,1/1/15,12/26/15,0,NA,,,,,,,,,,9/14/06,Dotty,0,,,,,,,,,
Tecate,TEC,M,1,1/25/08,1,1/10/15,12/26/15,0,NA,Y,2/29/12,,,,,,,,9/2/07,Corona,0,,,,,,,,,
Cancer,CAN,M,1,1/25/08,3,NA,1/25/08,0,NA,,,,,,,,,,10/25/06,Colleen,0,,,,,,,,,
Taurus,TAU,M,1,1/26/08,1,7/20/12,7/20/12,0,NA,,,,,,,,,,1/16/07,Carmen,0,,,,,,,,,
Oregon,ORE,M,1,3/10/08,1,6/14/14,12/26/15,0,NA,Y,4/10/09,3/6/11,3/23/11,12/2/11,2/29/12,5/18/12,5/27/12,6/1/12,12/22/07,Cali,1,,,,,,,,,
Dexi,DEX,M,1,3/12/08,3,NA,3/12/08,0,NA,,,,,,,,,,10/16/06,Arlene,0,,,,,,,,,
Ryder,RYD,M,1,3/25/08,3,NA,UN,0,NA,,,,,,,,,,12/4/06,Helen,1,,,,,,,,,
